date,USD,EUR,RUB
2024-01-01,38.002,41.996,0.42156
2024-01-02,38.0144,42.0059,0.42385
2024-01-03,38.0839,41.7209,0.41991
2024-01-04,38.1159,41.6073,0.41487
2024-01-05,38.0412,41.6665,0.41696
2024-01-06,38.0412,41.6665,0.41696
2024-01-07,38.0412,41.6665,0.41696
2024-01-08,38.0775,41.573,0.41861
2024-01-09,38.192,41.7973,0.41989
2024-01-10,38.2253,41.8185,0.42559
2024-01-11,38.1923,41.8015,0.42685
2024-01-12,37.9982,41.741,0.42815
2024-01-13,37.9982,41.741,0.42815
2024-01-14,37.9982,41.741,0.42815
2024-01-15,37.8386,41.3879,0.42788
2024-01-16,37.8641,41.4763,0.43125
2024-01-17,37.9247,41.2848,0.4306
2024-01-18,37.8977,41.21,0.42757
2024-01-19,37.7094,41.0146,0.42379
2024-01-20,37.7094,41.0146,0.42379
2024-01-21,37.7094,41.0146,0.42379
2024-01-22,37.5268,40.8404,0.4253
2024-01-23,37.4521,40.7928,0.42584
2024-01-24,37.4544,40.6905,0.42366
2024-01-25,37.5252,40.8837,0.42324
2024-01-26,37.5825,40.9161,0.42121
2024-01-27,37.5825,40.9161,0.42121
2024-01-28,37.5825,40.9161,0.42121
2024-01-29,37.7811,41.0567,0.42055
2024-01-30,37.8862,41.0042,0.42242
2024-01-31,37.8746,41.0845,0.42322
2024-02-01,37.5627,40.7067,0.41874
2024-02-02,37.6047,40.6695,0.41588
2024-02-03,37.6047,40.6695,0.41588
2024-02-04,37.6047,40.6695,0.41588
2024-02-05,37.5698,40.8797,0.41316
2024-02-06,37.5544,40.3747,0.41244
2024-02-07,37.6254,40.3946,0.4139
2024-02-08,37.5937,40.5035,0.41335
2024-02-09,37.5707,40.4129,0.4109
2024-02-10,37.5707,40.4129,0.4109
2024-02-11,37.5707,40.4129,0.4109
2024-02-12,37.6234,40.5129,0.41409
2024-02-13,37.8951,40.8092,0.41589
2024-02-14,38.1264,41.1212,0.41758
2024-02-15,38.1734,40.8684,0.41726
2024-02-16,37.9484,40.7718,0.41215
2024-02-17,37.9484,40.7718,0.41215
2024-02-18,37.9484,40.7718,0.41215
2024-02-19,37.9719,40.8919,0.4069
2024-02-20,38.2847,41.2403,0.41426
2024-02-21,38.4756,41.5421,0.41598
2024-02-22,38.6237,41.7213,0.41804
2024-02-23,38.4803,41.728,0.416
2024-02-24,38.4803,41.728,0.416
2024-02-25,38.4803,41.728,0.416
2024-02-26,38.3527,41.5628,0.40626
2024-02-27,38.3361,41.5985,0.4171
2024-02-28,38.4249,41.7179,0.41705
2024-02-29,38.2077,41.2968,0.41607
2024-03-01,38.0492,41.2035,0.41843
2024-03-02,38.0492,41.2035,0.41843
2024-03-03,38.0492,41.2035,0.41843
2024-03-04,38.1575,41.2635,0.41874
2024-03-05,38.3135,41.5433,0.41989
2024-03-06,38.3943,41.6463,0.42201
2024-03-07,38.2664,41.5918,0.42242
2024-03-08,38.0836,41.4883,0.41862
2024-03-09,38.0836,41.4883,0.41862
2024-03-10,38.0836,41.4883,0.41862
2024-03-11,38.141,41.6957,0.41974
2024-03-12,38.3825,41.9559,0.42362
2024-03-13,38.4924,42.0414,0.42194
2024-03-14,38.7878,42.4183,0.42287
2024-03-15,38.6854,42.287,0.42186
