filter,dataset,metric,value
AB,real_USD_train,mse,0.00016507926012423264
AB,real_USD_train,mae,0.007326327956244298
AB,real_USD_train,r2,0.9998326658918631
AB,real_USD_train,bias,0.0016148453473446534
AB,real_USD_train,residual_std,0.012746432231349756
ABG,real_USD_train,mse,0.00022156203695009993
ABG,real_USD_train,mae,0.010708046645626778
ABG,real_USD_train,r2,0.9997754116063875
ABG,real_USD_train,bias,2.902472221359114e-05
ABG,real_USD_train,residual_std,0.014884931794119862
ABG_adaptive,real_USD_train,mse,6.718341768662892e-05
ABG_adaptive,real_USD_train,mae,0.004771884099803547
ABG_adaptive,real_USD_train,r2,0.9999318989116397
ABG_adaptive,real_USD_train,bias,-0.0004346094831813066
ABG_adaptive,real_USD_train,residual_std,0.008185018771130448
AB,real_EUR_train,mse,0.00027010702816506285
AB,real_EUR_train,mae,0.009594594329160737
AB,real_EUR_train,r2,0.9997010442574424
AB,real_EUR_train,bias,0.0010278498268990787
AB,real_EUR_train,residual_std,0.016402760526765193
ABG,real_EUR_train,mse,0.0003254643002425065
ABG,real_EUR_train,mae,0.012983422890475702
ABG,real_EUR_train,r2,0.999639774565601
ABG,real_EUR_train,bias,0.00019685157584088046
ABG,real_EUR_train,residual_std,0.018039555141399568
ABG_adaptive,real_EUR_train,mse,0.0003377631495058292
ABG_adaptive,real_EUR_train,mae,0.013512461010960753
ABG_adaptive,real_EUR_train,r2,0.9996261621407815
ABG_adaptive,real_EUR_train,bias,0.0008309177372743177
ABG_adaptive,real_EUR_train,residual_std,0.018359540441408445
AB,real_RUB_train,mse,5.460755383991314e-08
AB,real_RUB_train,mae,0.00012517580599008567
AB,real_RUB_train,r2,0.9997824242261442
AB,real_RUB_train,bias,4.3293131674776226e-05
AB,real_RUB_train,residual_std,0.0002296372325858845
ABG,real_RUB_train,mse,6.456951814032149e-08
ABG,real_RUB_train,mae,0.00017555209753377754
ABG,real_RUB_train,r2,0.9997427322432705
ABG,real_RUB_train,bias,2.9539154525147787e-06
ABG,real_RUB_train,residual_std,0.00025408815896027287
ABG_adaptive,real_RUB_train,mse,1.654297375428472e-07
ABG_adaptive,real_RUB_train,mae,0.000267275826874092
ABG_adaptive,real_RUB_train,r2,0.9993408695201735
ABG_adaptive,real_RUB_train,bias,1.972528538566641e-06
ABG_adaptive,real_RUB_train,residual_std,0.000406725763474619
