model,dataset,metric,value
USD_Sklearn,train,mse,0.07205958831400218
USD_Sklearn,train,mae,0.23306546147760396
USD_Sklearn,train,r2,0.9269561364997566
USD_Sklearn,test,mse,7.254286930763423
USD_Sklearn,test,mae,2.2644846339236135
USD_Sklearn,test,r2,-88.52328224245367
USD_TorchNN,train,mse,677.0948927476305
USD_TorchNN,train,mae,21.684667040682555
USD_TorchNN,train,r2,-685.3434565717545
USD_TorchNN,test,mse,40902.08029497
USD_TorchNN,test,mae,181.81447666420314
USD_TorchNN,test,r2,-504761.0136200974
EUR_Sklearn,train,mse,0.17597815509546197
EUR_Sklearn,train,mae,0.3507161782405016
EUR_Sklearn,train,r2,0.8052265415384813
EUR_Sklearn,test,mse,12.79964778234755
EUR_Sklearn,test,mae,2.5594343368793244
EUR_Sklearn,test,r2,-16.957115879004338
EUR_TorchNN,train,mse,221.74841731124397
EUR_TorchNN,train,mae,6.897922289405365
EUR_TorchNN,train,r2,-244.43220222219995
EUR_TorchNN,test,mse,17525.802362546186
EUR_TorchNN,test,mae,115.12423463552724
EUR_TorchNN,test,r2,-24586.619069549834
RUB_Sklearn,train,mse,1.5077545190949962e-05
RUB_Sklearn,train,mae,0.0033209799559387313
RUB_Sklearn,train,r2,0.9399257367875425
RUB_Sklearn,test,mse,0.03437821826405286
RUB_Sklearn,test,mae,0.15234509446404387
RUB_Sklearn,test,r2,-47.39513864271531
RUB_TorchNN,train,mse,195.4276923204698
RUB_TorchNN,train,mae,6.0804767938116555
RUB_TorchNN,train,r2,-778651.9225267982
RUB_TorchNN,test,mse,410.9498242523338
RUB_TorchNN,test,mae,17.346097692890165
RUB_TorchNN,test,r2,-578504.0745543374
