region,family,model,dataset,metric,value
Central,exp_smoothing,SES,train,mse,49177588.30713002
Central,exp_smoothing,SES,train,mae,4732.758729442799
Central,exp_smoothing,SES,train,r2,-2.336322380003253e-08
Central,exp_smoothing,SES,test,mse,57081423.25428479
Central,exp_smoothing,SES,test,mae,5981.852374887748
Central,exp_smoothing,SES,test,r2,-0.306266907156695
Central,exp_smoothing,Holt,train,mse,53929369.50987923
Central,exp_smoothing,Holt,train,mae,4756.507649341531
Central,exp_smoothing,Holt,train,r2,-0.09662495917930558
Central,exp_smoothing,Holt,test,mse,117147897.72198002
Central,exp_smoothing,Holt,test,mae,9473.422845085332
Central,exp_smoothing,Holt,test,r2,-1.6808445429873338
Central,exp_smoothing,HW_add,train,mse,19738842.18830472
Central,exp_smoothing,HW_add,train,mae,2844.9085711301304
Central,exp_smoothing,HW_add,train,r2,0.598621174218788
Central,exp_smoothing,HW_add,test,mse,48751767.00735394
Central,exp_smoothing,HW_add,test,mae,4783.661655777653
Central,exp_smoothing,HW_add,test,r2,-0.11564877461845202
East,exp_smoothing,SES,train,mse,102814072.52804036
East,exp_smoothing,SES,train,mae,7183.095104172008
East,exp_smoothing,SES,train,r2,0.03916212232918148
East,exp_smoothing,SES,test,mse,135139429.5090402
East,exp_smoothing,SES,test,mae,9768.490254671708
East,exp_smoothing,SES,test,r2,-0.2685550629632705
East,exp_smoothing,Holt,train,mse,88030169.07412587
East,exp_smoothing,Holt,train,mae,7260.583854562684
East,exp_smoothing,Holt,train,r2,0.17732350499861516
East,exp_smoothing,Holt,test,mse,403030524.3505952
East,exp_smoothing,Holt,test,mae,17905.455438048433
East,exp_smoothing,Holt,test,r2,-2.7832512246878154
East,exp_smoothing,HW_add,train,mse,3722164.4516302776
East,exp_smoothing,HW_add,train,mae,1560.8589198543998
East,exp_smoothing,HW_add,train,r2,0.9652149116934278
East,exp_smoothing,HW_add,test,mse,55160385.2913748
East,exp_smoothing,HW_add,test,mae,5753.0448808415895
East,exp_smoothing,HW_add,test,r2,0.4822089578845138
South,exp_smoothing,SES,train,mse,38692036.96071639
South,exp_smoothing,SES,train,mae,3770.643625684877
South,exp_smoothing,SES,train,r2,-1.503264024371731e-08
South,exp_smoothing,SES,test,mse,38155465.36746186
South,exp_smoothing,SES,test,mae,4707.810888177534
South,exp_smoothing,SES,test,r2,-0.08419366439872045
South,exp_smoothing,Holt,train,mse,36392585.5884208
South,exp_smoothing,Holt,train,mae,3791.511436868924
South,exp_smoothing,Holt,train,r2,0.059429562407209424
South,exp_smoothing,Holt,test,mse,93750067.64387071
South,exp_smoothing,Holt,test,mae,7097.491751579317
South,exp_smoothing,Holt,test,r2,-1.6639231994039627
South,exp_smoothing,HW_add,train,mse,23459476.431927696
South,exp_smoothing,HW_add,train,mae,2632.3166660060856
South,exp_smoothing,HW_add,train,r2,0.39368721247724126
South,exp_smoothing,HW_add,test,mse,66122899.404944606
South,exp_smoothing,HW_add,test,mae,6351.926523439273
South,exp_smoothing,HW_add,test,r2,-0.8788927855051283
West,exp_smoothing,SES,train,mse,51393071.54962356
West,exp_smoothing,SES,train,mae,5643.901081786161
West,exp_smoothing,SES,train,r2,-0.046947654452728305
West,exp_smoothing,SES,test,mse,65408966.168710865
West,exp_smoothing,SES,test,mae,6813.953698832301
West,exp_smoothing,SES,test,r2,-0.0004334178466338656
West,exp_smoothing,Holt,train,mse,48650451.53638819
West,exp_smoothing,Holt,train,mae,5552.93809924566
West,exp_smoothing,Holt,train,r2,0.008923292804031147
West,exp_smoothing,Holt,test,mse,94877679.86283357
West,exp_smoothing,Holt,test,mae,8268.948825835634
West,exp_smoothing,Holt,test,r2,-0.45115887167069846
West,exp_smoothing,HW_add,train,mse,10164743.76234562
West,exp_smoothing,HW_add,train,mae,2312.241461900821
West,exp_smoothing,HW_add,train,r2,0.7929301690048783
West,exp_smoothing,HW_add,test,mse,39430982.15999797
West,exp_smoothing,HW_add,test,mae,5038.820207586773
West,exp_smoothing,HW_add,test,r2,0.3969011503770433
