region,family,model,dataset,mse,mae,r2
Central,nn,MLP,train,21863927.36737695,3860.2910817259103,-0.006723701719042463
Central,nn,MLP,test,66834481.602731094,6861.465081949418,-0.4401595837967829
Central,nn,RNN,train,21372152.477241077,3767.7061007424068,0.015920054340482936
Central,nn,RNN,test,65354306.51254397,6874.421959985485,-0.40826454562619974
Central,nn,LSTM,train,22807501.233523343,3992.7205330974234,-0.05017052439691194
Central,nn,LSTM,test,64761089.49557577,6738.757337005972,-0.39548181503907154
East,nn,MLP,train,95737109.35195948,8097.40785443919,-0.04752342849385749
East,nn,MLP,test,169578060.61291963,9939.608145554423,-0.2806312124825001
East,nn,RNN,train,103963460.54206435,7760.467441421012,-0.1375334116757534
East,nn,RNN,test,182911871.90271935,10138.153729349906,-0.38132640180917954
East,nn,LSTM,train,91404848.98278221,8267.362094431535,-0.00012128458365245898
East,nn,LSTM,test,151267572.45965242,9487.846985425105,-0.14235281396731803
South,nn,MLP,train,16013458.720451659,3426.6604532872107,-0.06980862066833238
South,nn,MLP,test,47802768.33541264,4963.845304301914,-0.18114378199981673
South,nn,RNN,train,17237307.902851082,3589.0304512315056,-0.15157012070308995
South,nn,RNN,test,44131507.62087939,4723.17844410741,-0.09043173924435988
South,nn,LSTM,train,16838216.660675418,3563.2980912389503,-0.12490809479312981
South,nn,LSTM,test,45684610.69602378,4851.823331242321,-0.12880688160306342
West,nn,MLP,train,49543143.2892745,5604.540666908096,0.014839598927750663
West,nn,MLP,test,95888216.88959375,7949.003229610554,-0.8697723534493258
West,nn,RNN,train,50474597.36849083,5690.852602738395,-0.0036822713723076994
West,nn,RNN,test,106624412.80806714,8421.356654066329,-1.0791228133988593
West,nn,LSTM,train,54998411.40608208,6071.172977778887,-0.09363785666143243
West,nn,LSTM,test,88870987.24866013,7568.891321370599,-0.7329398790741901
