region,horizon,date,y_pred
Central,2.0,2027-10-31,11441.636387148814
Central,2.0,2027-11-30,11665.742871384984
Central,2.0,2027-12-31,11889.849355621154
Central,2.0,2028-01-31,12113.955839857324
Central,2.0,2028-02-29,12338.062324093495
Central,2.0,2028-03-31,12562.168808329665
Central,2.0,2028-04-30,12786.275292565835
Central,2.0,2028-05-31,13010.381776802005
Central,2.0,2028-06-30,13234.488261038176
Central,2.0,2028-07-31,13458.594745274346
Central,2.0,2028-08-31,13682.701229510516
Central,2.0,2028-09-30,13906.807713746686
Central,2.0,2028-10-31,14130.914197982856
Central,2.0,2028-11-30,14355.020682219027
Central,2.0,2028-12-31,14579.127166455197
Central,2.0,2029-01-31,14803.233650691367
Central,2.0,2029-02-28,15027.340134927537
Central,2.0,2029-03-31,15251.446619163708
Central,2.0,2029-04-30,15475.553103399878
Central,2.0,2029-05-31,15699.659587636048
Central,2.0,2029-06-30,15923.766071872218
Central,2.0,2029-07-31,16147.872556108388
Central,2.0,2029-08-31,16371.979040344559
Central,2.0,2029-09-30,16596.08552458073
Central,2.0,2029-10-31,16820.1920088169
Central,2.0,2029-11-30,17044.29849305307
Central,2.0,2029-12-31,17268.40497728924
Central,2.0,2030-01-31,17492.51146152541
Central,2.0,2030-02-28,17716.61794576158
Central,2.0,2030-03-31,17940.72442999775
Central,2.0,2030-04-30,18164.83091423392
Central,2.0,2030-05-31,18388.93739847009
Central,2.0,2030-06-30,18613.04388270626
Central,2.0,2030-07-31,18837.15036694243
Central,2.0,2030-08-31,19061.2568511786
Central,2.0,2030-09-30,19285.36333541477
Central,2.0,2030-10-31,19509.46981965094
Central,2.0,2030-11-30,19733.576303887112
Central,2.0,2030-12-31,19957.682788123282
Central,2.0,2031-01-31,20181.789272359452
Central,2.0,2031-02-28,20405.895756595623
Central,2.0,2031-03-31,20630.002240831793
Central,2.0,2031-04-30,20854.108725067963
Central,2.0,2031-05-31,21078.215209304133
Central,2.0,2031-06-30,21302.321693540303
Central,2.0,2031-07-31,21526.428177776474
Central,2.0,2031-08-31,21750.534662012644
Central,2.0,2031-09-30,21974.641146248814
Central,2.0,2031-10-31,22198.747630484984
Central,2.0,2031-11-30,22422.854114721154
Central,2.0,2031-12-31,22646.960598957325
Central,2.0,2032-01-31,22871.067083193495
Central,2.0,2032-02-29,23095.173567429665
Central,2.0,2032-03-31,23319.280051665835
Central,2.0,2032-04-30,23543.386535902006
Central,2.0,2032-05-31,23767.493020138176
Central,2.0,2032-06-30,23991.599504374346
Central,2.0,2032-07-31,24215.705988610516
Central,2.0,2032-08-31,24439.812472846686
Central,2.0,2032-09-30,24663.918957082857
Central,2.0,2032-10-31,24888.025441319027
Central,2.0,2032-11-30,25112.131925555197
Central,2.0,2032-12-31,25336.238409791367
Central,2.0,2033-01-31,25560.344894027538
Central,2.0,2033-02-28,25784.451378263708
Central,2.0,2033-03-31,26008.557862499878
