region,model,horizon,step,y_pred
Central,Poly2,1.5,33,9240.01273980137
Central,Poly2,1.5,34,9058.342286516252
Central,Poly2,1.5,35,8857.928478567457
Central,Poly2,1.5,36,8638.771315954986
Central,Poly2,1.5,37,8400.870798678841
Central,Poly2,1.5,38,8144.2269267390175
Central,Poly2,1.5,39,7868.839700135522
Central,Poly2,1.5,40,7574.70911886835
Central,Poly2,1.5,41,7261.835182937501
Central,Poly2,1.5,42,6930.217892342979
Central,Poly2,1.5,43,6579.857247084776
Central,Poly2,1.5,44,6210.753247162902
Central,Poly2,1.5,45,5822.905892577353
Central,Poly2,1.5,46,5416.315183328125
Central,Poly2,1.5,47,4990.981119415223
Central,Poly2,1.5,48,4546.903700838646
Central,Poly2,1.5,49,4084.0829275983897
Central,Poly2,1.5,50,3602.518799694463
Central,Poly2,1.5,51,3102.2113171268575
Central,Poly2,1.5,52,2583.1604798955736
Central,Poly2,1.5,53,2045.3662880006186
Central,Poly2,1.5,54,1488.8287414419924
Central,Poly2,1.5,55,913.54784021968
Central,Poly2,1.5,56,319.52358433370046
Central,Poly2,1.5,57,-293.24402621596073
Central,Poly2,1.5,58,-924.7549914292977
Central,Poly2,1.5,59,-1575.0093113063049
Central,Poly2,1.5,60,-2244.006985846988
Central,Poly2,1.5,61,-2931.7480150513493
Central,Poly2,1.5,62,-3638.2323989193883
Central,Poly2,1.5,63,-4363.460137451102
Central,Poly2,1.5,64,-5107.431230646489
Central,Poly2,1.5,65,-5870.1456785055525
Central,Poly2,1.5,66,-6651.603481028284
Central,Poly2,1.5,67,-7451.804638214708
Central,Poly2,1.5,68,-8270.749150064792
Central,Poly2,1.5,69,-9108.437016578568
Central,Poly2,1.5,70,-9964.868237756009
Central,Poly2,1.5,71,-10840.042813597127
Central,Poly2,1.5,72,-11733.960744101918
Central,Poly2,1.5,73,-12646.622029270384
Central,Poly2,1.5,74,-13578.026669102524
Central,Poly2,1.5,75,-14528.174663598347
Central,Poly2,1.5,76,-15497.066012757852
Central,Poly2,1.5,77,-16484.70071658103
Central,Poly2,1.5,78,-17491.07877506786
Central,Poly2,1.5,79,-18516.200188218398
Central,Poly2,1.5,80,-19560.06495603258
Central,Poly2,1.5,81,-20622.673078510452
