region,model,horizon,step,y_pred
Central,TorchNN,2.0,33,7917.4805
Central,TorchNN,2.0,34,8148.743
Central,TorchNN,2.0,35,8380.007
Central,TorchNN,2.0,36,8611.2705
Central,TorchNN,2.0,37,8842.534
Central,TorchNN,2.0,38,9073.798
Central,TorchNN,2.0,39,9305.062
Central,TorchNN,2.0,40,9536.325
Central,TorchNN,2.0,41,9767.589
Central,TorchNN,2.0,42,9998.853
Central,TorchNN,2.0,43,10230.114
Central,TorchNN,2.0,44,10461.38
Central,TorchNN,2.0,45,10692.644
Central,TorchNN,2.0,46,10923.905
Central,TorchNN,2.0,47,11155.169
Central,TorchNN,2.0,48,11386.435
Central,TorchNN,2.0,49,11617.697
Central,TorchNN,2.0,50,11848.961
Central,TorchNN,2.0,51,12080.224
Central,TorchNN,2.0,52,12311.487
Central,TorchNN,2.0,53,12542.75
Central,TorchNN,2.0,54,12774.015
Central,TorchNN,2.0,55,13005.277
Central,TorchNN,2.0,56,13236.541
Central,TorchNN,2.0,57,13467.806
Central,TorchNN,2.0,58,13699.067
Central,TorchNN,2.0,59,13930.331
Central,TorchNN,2.0,60,14161.596
Central,TorchNN,2.0,61,14392.858
Central,TorchNN,2.0,62,14624.122
Central,TorchNN,2.0,63,14855.387
Central,TorchNN,2.0,64,15086.649
Central,TorchNN,2.0,65,15317.912
Central,TorchNN,2.0,66,15549.177
Central,TorchNN,2.0,67,15780.44
Central,TorchNN,2.0,68,16011.702
Central,TorchNN,2.0,69,16242.966
Central,TorchNN,2.0,70,16474.229
Central,TorchNN,2.0,71,16705.492
Central,TorchNN,2.0,72,16936.758
Central,TorchNN,2.0,73,17168.02
Central,TorchNN,2.0,74,17399.285
Central,TorchNN,2.0,75,17630.547
Central,TorchNN,2.0,76,17861.81
Central,TorchNN,2.0,77,18093.074
Central,TorchNN,2.0,78,18324.336
Central,TorchNN,2.0,79,18555.602
Central,TorchNN,2.0,80,18786.865
Central,TorchNN,2.0,81,19018.129
Central,TorchNN,2.0,82,19249.393
Central,TorchNN,2.0,83,19480.656
Central,TorchNN,2.0,84,19711.918
Central,TorchNN,2.0,85,19943.182
Central,TorchNN,2.0,86,20174.445
Central,TorchNN,2.0,87,20405.71
Central,TorchNN,2.0,88,20636.973
Central,TorchNN,2.0,89,20868.234
Central,TorchNN,2.0,90,21099.5
Central,TorchNN,2.0,91,21330.762
Central,TorchNN,2.0,92,21562.027
Central,TorchNN,2.0,93,21793.29
Central,TorchNN,2.0,94,22024.555
Central,TorchNN,2.0,95,22255.816
Central,TorchNN,2.0,96,22487.08
Central,TorchNN,2.0,97,22718.348
Central,TorchNN,2.0,98,22949.607
