region,model,horizon,step,y_pred
East,Poly2,1.5,33,13075.267031321617
East,Poly2,1.5,34,12571.364896765976
East,Poly2,1.5,35,12018.816516673134
East,Poly2,1.5,36,11417.62189104308
East,Poly2,1.5,37,10767.781019875818
East,Poly2,1.5,38,10069.293903171347
East,Poly2,1.5,39,9322.160540929679
East,Poly2,1.5,40,8526.380933150802
East,Poly2,1.5,41,7681.955079834714
East,Poly2,1.5,42,6788.882980981424
East,Poly2,1.5,43,5847.164636590918
East,Poly2,1.5,44,4856.800046663211
East,Poly2,1.5,45,3817.7892111983074
East,Poly2,1.5,46,2730.132130196181
East,Poly2,1.5,47,1593.8288036568597
East,Poly2,1.5,48,408.8792315803212
East,Poly2,1.5,49,-824.7165860334185
East,Poly2,1.5,50,-2106.958649184361
East,Poly2,1.5,51,-3437.84695787252
East,Poly2,1.5,52,-4817.381512097887
East,Poly2,1.5,53,-6245.5623118604435
East,Poly2,1.5,54,-7722.3893571602075
East,Poly2,1.5,55,-9247.862647997204
East,Poly2,1.5,56,-10821.982184371373
East,Poly2,1.5,57,-12444.74796628278
East,Poly2,1.5,58,-14116.15999373139
East,Poly2,1.5,59,-15836.218266717186
East,Poly2,1.5,60,-17604.922785240196
East,Poly2,1.5,61,-19422.273549300415
East,Poly2,1.5,62,-21288.270558897842
East,Poly2,1.5,63,-23202.913814032472
East,Poly2,1.5,64,-25166.203314704326
East,Poly2,1.5,65,-27178.139060913367
East,Poly2,1.5,66,-29238.721052659595
East,Poly2,1.5,67,-31347.94928994309
East,Poly2,1.5,68,-33505.823772763724
East,Poly2,1.5,69,-35712.34450112162
East,Poly2,1.5,70,-37967.51147501671
East,Poly2,1.5,71,-40271.324694449
East,Poly2,1.5,72,-42623.78415941848
East,Poly2,1.5,73,-45024.88986992519
East,Poly2,1.5,74,-47474.64182596909
East,Poly2,1.5,75,-49973.040027550196
East,Poly2,1.5,76,-52520.08447466855
East,Poly2,1.5,77,-55115.77516732407
East,Poly2,1.5,78,-57760.11210551677
East,Poly2,1.5,79,-60453.09528924675
East,Poly2,1.5,80,-63194.724718513855
East,Poly2,1.5,81,-65985.00039331822
