region,model,horizon,step,y_pred
East,TorchNN,2.0,33,10918.338
East,TorchNN,2.0,34,11238.812
East,TorchNN,2.0,35,11559.285
East,TorchNN,2.0,36,11879.761
East,TorchNN,2.0,37,12200.232
East,TorchNN,2.0,38,12520.707
East,TorchNN,2.0,39,12841.18
East,TorchNN,2.0,40,13161.654
East,TorchNN,2.0,41,13482.129
East,TorchNN,2.0,42,13802.602
East,TorchNN,2.0,43,14123.075
East,TorchNN,2.0,44,14443.551
East,TorchNN,2.0,45,14764.023
East,TorchNN,2.0,46,15084.496
East,TorchNN,2.0,47,15404.97
East,TorchNN,2.0,48,15725.445
East,TorchNN,2.0,49,16045.918
East,TorchNN,2.0,50,16366.392
East,TorchNN,2.0,51,16686.867
East,TorchNN,2.0,52,17007.34
East,TorchNN,2.0,53,17327.814
East,TorchNN,2.0,54,17648.287
East,TorchNN,2.0,55,17968.76
East,TorchNN,2.0,56,18289.236
East,TorchNN,2.0,57,18609.707
East,TorchNN,2.0,58,18930.184
East,TorchNN,2.0,59,19250.656
East,TorchNN,2.0,60,19571.13
East,TorchNN,2.0,61,19891.604
East,TorchNN,2.0,62,20212.08
East,TorchNN,2.0,63,20532.55
East,TorchNN,2.0,64,20853.025
East,TorchNN,2.0,65,21173.498
East,TorchNN,2.0,66,21493.973
East,TorchNN,2.0,67,21814.447
East,TorchNN,2.0,68,22134.922
East,TorchNN,2.0,69,22455.395
East,TorchNN,2.0,70,22775.867
East,TorchNN,2.0,71,23096.344
East,TorchNN,2.0,72,23416.812
East,TorchNN,2.0,73,23737.291
East,TorchNN,2.0,74,24057.764
East,TorchNN,2.0,75,24378.236
East,TorchNN,2.0,76,24698.71
East,TorchNN,2.0,77,25019.182
East,TorchNN,2.0,78,25339.656
East,TorchNN,2.0,79,25660.135
East,TorchNN,2.0,80,25980.607
East,TorchNN,2.0,81,26301.082
East,TorchNN,2.0,82,26621.553
East,TorchNN,2.0,83,26942.027
East,TorchNN,2.0,84,27262.5
East,TorchNN,2.0,85,27582.973
East,TorchNN,2.0,86,27903.447
East,TorchNN,2.0,87,28223.924
East,TorchNN,2.0,88,28544.396
East,TorchNN,2.0,89,28864.87
East,TorchNN,2.0,90,29185.344
East,TorchNN,2.0,91,29505.818
East,TorchNN,2.0,92,29826.291
East,TorchNN,2.0,93,30146.766
East,TorchNN,2.0,94,30467.238
East,TorchNN,2.0,95,30787.713
East,TorchNN,2.0,96,31108.186
East,TorchNN,2.0,97,31428.662
East,TorchNN,2.0,98,31749.133
