region,horizon,date,y_pred
South,2.0,2027-10-31,6202.3093141716945
South,2.0,2027-11-30,6244.730117064403
South,2.0,2027-12-31,6287.150919957111
South,2.0,2028-01-31,6329.571722849818
South,2.0,2028-02-29,6371.992525742525
South,2.0,2028-03-31,6414.413328635232
South,2.0,2028-04-30,6456.834131527939
South,2.0,2028-05-31,6499.254934420645
South,2.0,2028-06-30,6541.675737313352
South,2.0,2028-07-31,6584.096540206059
South,2.0,2028-08-31,6626.517343098766
South,2.0,2028-09-30,6668.938145991473
South,2.0,2028-10-31,6711.35894888418
South,2.0,2028-11-30,6753.779751776887
South,2.0,2028-12-31,6796.200554669594
South,2.0,2029-01-31,6838.621357562301
South,2.0,2029-02-28,6881.042160455007
South,2.0,2029-03-31,6923.462963347714
South,2.0,2029-04-30,6965.883766240421
South,2.0,2029-05-31,7008.304569133128
South,2.0,2029-06-30,7050.725372025835
South,2.0,2029-07-31,7093.146174918542
South,2.0,2029-08-31,7135.566977811249
South,2.0,2029-09-30,7177.987780703956
South,2.0,2029-10-31,7220.4085835966625
South,2.0,2029-11-30,7262.829386489369
South,2.0,2029-12-31,7305.250189382076
South,2.0,2030-01-31,7347.670992274783
South,2.0,2030-02-28,7390.09179516749
South,2.0,2030-03-31,7432.512598060197
South,2.0,2030-04-30,7474.933400952904
South,2.0,2030-05-31,7517.354203845611
South,2.0,2030-06-30,7559.775006738318
South,2.0,2030-07-31,7602.1958096310245
South,2.0,2030-08-31,7644.616612523731
South,2.0,2030-09-30,7687.037415416438
South,2.0,2030-10-31,7729.458218309145
South,2.0,2030-11-30,7771.879021201852
South,2.0,2030-12-31,7814.299824094559
South,2.0,2031-01-31,7856.720626987266
South,2.0,2031-02-28,7899.141429879973
South,2.0,2031-03-31,7941.56223277268
South,2.0,2031-04-30,7983.9830356653865
South,2.0,2031-05-31,8026.403838558093
South,2.0,2031-06-30,8068.8246414508
South,2.0,2031-07-31,8111.245444343507
South,2.0,2031-08-31,8153.666247236214
South,2.0,2031-09-30,8196.087050128921
South,2.0,2031-10-31,8238.507853021627
South,2.0,2031-11-30,8280.928655914333
South,2.0,2031-12-31,8323.349458807039
South,2.0,2032-01-31,8365.770261699745
South,2.0,2032-02-29,8408.19106459245
South,2.0,2032-03-31,8450.611867485157
South,2.0,2032-04-30,8493.032670377863
South,2.0,2032-05-31,8535.453473270569
South,2.0,2032-06-30,8577.874276163275
South,2.0,2032-07-31,8620.29507905598
South,2.0,2032-08-31,8662.715881948687
South,2.0,2032-09-30,8705.136684841393
South,2.0,2032-10-31,8747.557487734099
South,2.0,2032-11-30,8789.978290626805
South,2.0,2032-12-31,8832.39909351951
South,2.0,2033-01-31,8874.819896412217
South,2.0,2033-02-28,8917.240699304923
South,2.0,2033-03-31,8959.661502197629
