region,model,horizon,step,y_pred
South,Poly2,0.5,33,8626.318290679912
South,Poly2,0.5,34,9102.261143695021
South,Poly2,0.5,35,9612.59346183371
South,Poly2,0.5,36,10157.315245095991
South,Poly2,0.5,37,10736.426493481853
South,Poly2,0.5,38,11349.927206991306
South,Poly2,0.5,39,11997.817385624345
South,Poly2,0.5,40,12680.097029380964
South,Poly2,0.5,41,13396.766138261175
South,Poly2,0.5,42,14147.82471226497
South,Poly2,0.5,43,14933.272751392353
South,Poly2,0.5,44,15753.110255643318
South,Poly2,0.5,45,16607.337225017873
South,Poly2,0.5,46,17495.953659516017
South,Poly2,0.5,47,18418.959559137744
South,Poly2,0.5,48,19376.35492388305
