region,model,horizon,step,y_pred
South,TorchNN,2.0,33,7245.54
South,TorchNN,2.0,34,7459.787
South,TorchNN,2.0,35,7674.0347
South,TorchNN,2.0,36,7888.282
South,TorchNN,2.0,37,8102.5293
South,TorchNN,2.0,38,8316.776
South,TorchNN,2.0,39,8531.023
South,TorchNN,2.0,40,8745.271
South,TorchNN,2.0,41,8959.519
South,TorchNN,2.0,42,9173.766
South,TorchNN,2.0,43,9388.012
South,TorchNN,2.0,44,9602.26
South,TorchNN,2.0,45,9816.508
South,TorchNN,2.0,46,10030.754
South,TorchNN,2.0,47,10245.001
South,TorchNN,2.0,48,10459.249
South,TorchNN,2.0,49,10673.496
South,TorchNN,2.0,50,10887.744
South,TorchNN,2.0,51,11101.99
South,TorchNN,2.0,52,11316.238
South,TorchNN,2.0,53,11530.484
South,TorchNN,2.0,54,11744.732
South,TorchNN,2.0,55,11958.979
South,TorchNN,2.0,56,12173.227
South,TorchNN,2.0,57,12387.474
South,TorchNN,2.0,58,12601.721
South,TorchNN,2.0,59,12815.969
South,TorchNN,2.0,60,13030.217
South,TorchNN,2.0,61,13244.463
South,TorchNN,2.0,62,13458.71
South,TorchNN,2.0,63,13672.957
South,TorchNN,2.0,64,13887.205
South,TorchNN,2.0,65,14101.452
South,TorchNN,2.0,66,14315.699
South,TorchNN,2.0,67,14529.945
South,TorchNN,2.0,68,14744.192
South,TorchNN,2.0,69,14958.44
South,TorchNN,2.0,70,15172.6875
South,TorchNN,2.0,71,15386.937
South,TorchNN,2.0,72,15601.183
South,TorchNN,2.0,73,15815.43
South,TorchNN,2.0,74,16029.675
South,TorchNN,2.0,75,16243.924
South,TorchNN,2.0,76,16458.17
South,TorchNN,2.0,77,16672.418
South,TorchNN,2.0,78,16886.664
South,TorchNN,2.0,79,17100.914
South,TorchNN,2.0,80,17315.16
South,TorchNN,2.0,81,17529.408
South,TorchNN,2.0,82,17743.654
South,TorchNN,2.0,83,17957.902
South,TorchNN,2.0,84,18172.148
South,TorchNN,2.0,85,18386.396
South,TorchNN,2.0,86,18600.643
South,TorchNN,2.0,87,18814.89
South,TorchNN,2.0,88,19029.139
South,TorchNN,2.0,89,19243.387
South,TorchNN,2.0,90,19457.633
South,TorchNN,2.0,91,19671.879
South,TorchNN,2.0,92,19886.125
South,TorchNN,2.0,93,20100.375
South,TorchNN,2.0,94,20314.621
South,TorchNN,2.0,95,20528.87
South,TorchNN,2.0,96,20743.117
South,TorchNN,2.0,97,20957.363
South,TorchNN,2.0,98,21171.611
