region,horizon,date,y_pred
West,0.5,2027-10-31,17706.17576398564
West,0.5,2027-11-30,18134.178973543858
West,0.5,2027-12-31,18562.18218310208
West,0.5,2028-01-31,18990.1853926603
West,0.5,2028-02-29,19418.18860221852
West,0.5,2028-03-31,19846.19181177674
West,0.5,2028-04-30,20274.195021334963
West,0.5,2028-05-31,20702.198230893184
West,0.5,2028-06-30,21130.201440451405
West,0.5,2028-07-31,21558.204650009626
West,0.5,2028-08-31,21986.207859567847
West,0.5,2028-09-30,22414.211069126068
West,0.5,2028-10-31,22842.21427868429
West,0.5,2028-11-30,23270.21748824251
West,0.5,2028-12-31,23698.22069780073
West,0.5,2029-01-31,24126.22390735895
