region,model,horizon,step,y_pred
West,TorchNN,1.5,33,8000.5684
West,TorchNN,1.5,34,8236.525
West,TorchNN,1.5,35,8472.481
West,TorchNN,1.5,36,8708.4375
West,TorchNN,1.5,37,8944.3955
West,TorchNN,1.5,38,9180.36
West,TorchNN,1.5,39,9416.325
West,TorchNN,1.5,40,9652.29
West,TorchNN,1.5,41,9888.254
West,TorchNN,1.5,42,10124.218
West,TorchNN,1.5,43,10360.183
West,TorchNN,1.5,44,10596.146
West,TorchNN,1.5,45,10832.11
West,TorchNN,1.5,46,11068.075
West,TorchNN,1.5,47,11304.04
West,TorchNN,1.5,48,11540.005
West,TorchNN,1.5,49,11775.969
West,TorchNN,1.5,50,12011.934
West,TorchNN,1.5,51,12247.897
West,TorchNN,1.5,52,12483.862
West,TorchNN,1.5,53,12719.827
West,TorchNN,1.5,54,12955.79
West,TorchNN,1.5,55,13191.753
West,TorchNN,1.5,56,13427.717
West,TorchNN,1.5,57,13663.679
West,TorchNN,1.5,58,13899.644
West,TorchNN,1.5,59,14135.6045
West,TorchNN,1.5,60,14371.568
West,TorchNN,1.5,61,14607.532
West,TorchNN,1.5,62,14843.496
West,TorchNN,1.5,63,15079.458
West,TorchNN,1.5,64,15315.423
West,TorchNN,1.5,65,15551.386
West,TorchNN,1.5,66,15787.349
West,TorchNN,1.5,67,16023.311
West,TorchNN,1.5,68,16259.274
West,TorchNN,1.5,69,16495.236
West,TorchNN,1.5,70,16731.2
West,TorchNN,1.5,71,16967.164
West,TorchNN,1.5,72,17203.125
West,TorchNN,1.5,73,17439.088
West,TorchNN,1.5,74,17675.053
West,TorchNN,1.5,75,17911.016
West,TorchNN,1.5,76,18146.98
West,TorchNN,1.5,77,18382.941
West,TorchNN,1.5,78,18618.904
West,TorchNN,1.5,79,18854.87
West,TorchNN,1.5,80,19090.832
West,TorchNN,1.5,81,19326.793
