region,model,horizon,date,y_pred
Central,LSTM,2.0,2027-10-31,10030.145512314184
Central,LSTM,2.0,2027-11-30,10036.68039584461
Central,LSTM,2.0,2027-12-31,10037.465582802895
Central,LSTM,2.0,2028-01-31,10033.125947638666
Central,LSTM,2.0,2028-02-29,10029.264884346074
Central,LSTM,2.0,2028-03-31,10026.564595064756
Central,LSTM,2.0,2028-04-30,10024.994851989342
Central,LSTM,2.0,2028-05-31,10024.044700068878
Central,LSTM,2.0,2028-06-30,10023.548911490707
Central,LSTM,2.0,2028-07-31,10023.270395120528
Central,LSTM,2.0,2028-08-31,10023.227261356516
Central,LSTM,2.0,2028-09-30,10023.21827187005
Central,LSTM,2.0,2028-10-31,10023.213225140806
Central,LSTM,2.0,2028-11-30,10023.21072806123
Central,LSTM,2.0,2028-12-31,10023.209518949016
Central,LSTM,2.0,2029-01-31,10023.209098388246
Central,LSTM,2.0,2029-02-28,10023.208782967668
Central,LSTM,2.0,2029-03-31,10023.208782967668
Central,LSTM,2.0,2029-04-30,10023.208782967668
Central,LSTM,2.0,2029-05-31,10023.208782967668
Central,LSTM,2.0,2029-06-30,10023.208835537764
Central,LSTM,2.0,2029-07-31,10023.208782967668
Central,LSTM,2.0,2029-08-31,10023.208782967668
Central,LSTM,2.0,2029-09-30,10023.208782967668
Central,LSTM,2.0,2029-10-31,10023.208782967668
Central,LSTM,2.0,2029-11-30,10023.208782967668
Central,LSTM,2.0,2029-12-31,10023.208809252716
Central,LSTM,2.0,2030-01-31,10023.208809252716
Central,LSTM,2.0,2030-02-28,10023.208809252716
Central,LSTM,2.0,2030-03-31,10023.208782967668
Central,LSTM,2.0,2030-04-30,10023.208809252716
Central,LSTM,2.0,2030-05-31,10023.208782967668
Central,LSTM,2.0,2030-06-30,10023.208782967668
Central,LSTM,2.0,2030-07-31,10023.208835537764
Central,LSTM,2.0,2030-08-31,10023.208782967668
Central,LSTM,2.0,2030-09-30,10023.208809252716
Central,LSTM,2.0,2030-10-31,10023.208782967668
Central,LSTM,2.0,2030-11-30,10023.208782967668
Central,LSTM,2.0,2030-12-31,10023.208809252716
Central,LSTM,2.0,2031-01-31,10023.208782967668
Central,LSTM,2.0,2031-02-28,10023.208809252716
Central,LSTM,2.0,2031-03-31,10023.208835537764
Central,LSTM,2.0,2031-04-30,10023.208782967668
Central,LSTM,2.0,2031-05-31,10023.208809252716
Central,LSTM,2.0,2031-06-30,10023.208782967668
Central,LSTM,2.0,2031-07-31,10023.208782967668
Central,LSTM,2.0,2031-08-31,10023.208782967668
Central,LSTM,2.0,2031-09-30,10023.208782967668
Central,LSTM,2.0,2031-10-31,10023.208809252716
Central,LSTM,2.0,2031-11-30,10023.208809252716
Central,LSTM,2.0,2031-12-31,10023.208809252716
Central,LSTM,2.0,2032-01-31,10023.208809252716
Central,LSTM,2.0,2032-02-29,10023.208782967668
Central,LSTM,2.0,2032-03-31,10023.208782967668
Central,LSTM,2.0,2032-04-30,10023.208782967668
Central,LSTM,2.0,2032-05-31,10023.208782967668
Central,LSTM,2.0,2032-06-30,10023.208809252716
Central,LSTM,2.0,2032-07-31,10023.208782967668
Central,LSTM,2.0,2032-08-31,10023.208809252716
Central,LSTM,2.0,2032-09-30,10023.208782967668
Central,LSTM,2.0,2032-10-31,10023.208782967668
Central,LSTM,2.0,2032-11-30,10023.208782967668
Central,LSTM,2.0,2032-12-31,10023.208782967668
Central,LSTM,2.0,2033-01-31,10023.208809252716
Central,LSTM,2.0,2033-02-28,10023.208809252716
Central,LSTM,2.0,2033-03-31,10023.208809252716
