region,model,horizon,date,y_pred
Central,MLP,2.0,2027-10-31,9474.495838619892
Central,MLP,2.0,2027-11-30,9274.128175931737
Central,MLP,2.0,2027-12-31,9809.923753927826
Central,MLP,2.0,2028-01-31,9157.130692978859
Central,MLP,2.0,2028-02-29,9421.49771659934
Central,MLP,2.0,2028-03-31,9512.923001909747
Central,MLP,2.0,2028-04-30,9640.18532186548
Central,MLP,2.0,2028-05-31,9538.374498611121
Central,MLP,2.0,2028-06-30,9450.028243840803
Central,MLP,2.0,2028-07-31,9340.060434164694
Central,MLP,2.0,2028-08-31,9468.337777539718
Central,MLP,2.0,2028-09-30,9474.356212444129
Central,MLP,2.0,2028-10-31,9485.35398172955
Central,MLP,2.0,2028-11-30,9503.613258416406
Central,MLP,2.0,2028-12-31,9486.812696761584
Central,MLP,2.0,2029-01-31,9477.215499981696
Central,MLP,2.0,2029-02-28,9474.12637598312
Central,MLP,2.0,2029-03-31,9480.638969792715
Central,MLP,2.0,2029-04-30,9485.70273174838
Central,MLP,2.0,2029-05-31,9486.753818253732
Central,MLP,2.0,2029-06-30,9484.431481679738
Central,MLP,2.0,2029-07-31,9483.209226940844
Central,MLP,2.0,2029-08-31,9482.017462857802
Central,MLP,2.0,2029-09-30,9481.840091352899
Central,MLP,2.0,2029-10-31,9482.733257288975
Central,MLP,2.0,2029-11-30,9483.23908675554
Central,MLP,2.0,2029-12-31,9483.25569890597
Central,MLP,2.0,2030-01-31,9482.957416179584
Central,MLP,2.0,2030-02-28,9482.735570373214
Central,MLP,2.0,2030-03-31,9482.689098408087
Central,MLP,2.0,2030-04-30,9482.762591402708
Central,MLP,2.0,2030-05-31,9482.857322716236
Central,MLP,2.0,2030-06-30,9482.914413840814
Central,MLP,2.0,2030-07-31,9482.90253299905
Central,MLP,2.0,2030-08-31,9482.859215239703
Central,MLP,2.0,2030-09-30,9482.835663836562
Central,MLP,2.0,2030-10-31,9482.836925518874
Central,MLP,2.0,2030-11-30,9482.850909164488
Central,MLP,2.0,2030-12-31,9482.862159165095
Central,MLP,2.0,2031-01-31,9482.86478766991
Central,MLP,2.0,2031-02-28,9482.8606872024
Central,MLP,2.0,2031-03-31,9482.855430192769
Central,MLP,2.0,2031-04-30,9482.853117108532
Central,MLP,2.0,2031-05-31,9482.854168510457
Central,MLP,2.0,2031-06-30,9482.856166174117
Central,MLP,2.0,2031-07-31,9482.857322716236
Central,MLP,2.0,2031-08-31,9482.857217576044
Central,MLP,2.0,2031-09-30,9482.856481594696
Central,MLP,2.0,2031-10-31,9482.85585075354
Central,MLP,2.0,2031-11-30,9482.85585075354
Central,MLP,2.0,2031-12-31,9482.856061033925
Central,MLP,2.0,2032-01-31,9482.85627131431
Central,MLP,2.0,2032-02-29,9482.856376454503
Central,MLP,2.0,2032-03-31,9482.85627131431
Central,MLP,2.0,2032-04-30,9482.856166174117
Central,MLP,2.0,2032-05-31,9482.856166174117
Central,MLP,2.0,2032-06-30,9482.856166174117
Central,MLP,2.0,2032-07-31,9482.85627131431
Central,MLP,2.0,2032-08-31,9482.85627131431
Central,MLP,2.0,2032-09-30,9482.85627131431
Central,MLP,2.0,2032-10-31,9482.85627131431
Central,MLP,2.0,2032-11-30,9482.85627131431
Central,MLP,2.0,2032-12-31,9482.85627131431
Central,MLP,2.0,2033-01-31,9482.85627131431
Central,MLP,2.0,2033-02-28,9482.85627131431
Central,MLP,2.0,2033-03-31,9482.85627131431
