region,model,horizon,date,y_pred
Central,RNN,0.5,2027-10-31,10787.208389056825
Central,RNN,0.5,2027-11-30,10635.917802616752
Central,RNN,0.5,2027-12-31,10890.978368374912
Central,RNN,0.5,2028-01-31,10490.106229322992
Central,RNN,0.5,2028-02-29,10808.892765227689
Central,RNN,0.5,2028-03-31,10726.344518948006
Central,RNN,0.5,2028-04-30,10770.26704468412
Central,RNN,0.5,2028-05-31,10773.974761005817
Central,RNN,0.5,2028-06-30,10762.2969975248
Central,RNN,0.5,2028-07-31,10768.37972565698
Central,RNN,0.5,2028-08-31,10760.781033657899
Central,RNN,0.5,2028-09-30,10762.211308267837
Central,RNN,0.5,2028-10-31,10762.278597991097
Central,RNN,0.5,2028-11-30,10762.142651722073
Central,RNN,0.5,2028-12-31,10762.613522074602
Central,RNN,0.5,2029-01-31,10762.454024402437
