region,model,horizon,date,y_pred
Central,poly_deg2,2.0,2027-10-31,3925.6441465930448
Central,poly_deg2,2.0,2027-11-30,3427.47017477203
Central,poly_deg2,2.0,2027-12-31,2909.7637400397757
Central,poly_deg2,2.0,2028-01-31,2372.5248423962917
Central,poly_deg2,2.0,2028-02-29,1815.753481841568
Central,poly_deg2,2.0,2028-03-31,1239.4496583756109
Central,poly_deg2,2.0,2028-04-30,643.6133719984209
Central,poly_deg2,2.0,2028-05-31,28.244622709994474
Central,poly_deg2,2.0,2028-06-30,-606.6565894896685
Central,poly_deg2,2.0,2028-07-31,-1261.0902646005634
Central,poly_deg2,2.0,2028-08-31,-1935.056402622692
Central,poly_deg2,2.0,2028-09-30,-2628.555003556061
Central,poly_deg2,2.0,2028-10-31,-3341.586067400658
Central,poly_deg2,2.0,2028-11-30,-4074.149594156501
Central,poly_deg2,2.0,2028-12-31,-4826.245583823571
Central,poly_deg2,2.0,2029-01-31,-5597.874036401872
Central,poly_deg2,2.0,2029-02-28,-6389.034951891415
Central,poly_deg2,2.0,2029-03-31,-7199.728330292188
Central,poly_deg2,2.0,2029-04-30,-8029.954171604199
Central,poly_deg2,2.0,2029-05-31,-8879.712475827444
Central,poly_deg2,2.0,2029-06-30,-9749.003242961928
Central,poly_deg2,2.0,2029-07-31,-10637.826473007639
Central,poly_deg2,2.0,2029-08-31,-11546.182165964594
Central,poly_deg2,2.0,2029-09-30,-12474.07032183278
Central,poly_deg2,2.0,2029-10-31,-13421.490940612195
Central,poly_deg2,2.0,2029-11-30,-14388.44402230285
Central,poly_deg2,2.0,2029-12-31,-15374.929566904739
Central,poly_deg2,2.0,2030-01-31,-16380.94757441787
Central,poly_deg2,2.0,2030-02-28,-17406.49804484222
Central,poly_deg2,2.0,2030-03-31,-18451.58097817782
Central,poly_deg2,2.0,2030-04-30,-19516.196374424653
Central,poly_deg2,2.0,2030-05-31,-20600.344233582717
Central,poly_deg2,2.0,2030-06-30,-21704.024555652013
Central,poly_deg2,2.0,2030-07-31,-22827.23734063255
Central,poly_deg2,2.0,2030-08-31,-23969.982588524323
Central,poly_deg2,2.0,2030-09-30,-25132.260299327314
Central,poly_deg2,2.0,2030-10-31,-26314.070473041553
Central,poly_deg2,2.0,2030-11-30,-27515.413109667035
Central,poly_deg2,2.0,2030-12-31,-28736.288209203743
Central,poly_deg2,2.0,2031-01-31,-29976.695771651688
Central,poly_deg2,2.0,2031-02-28,-31236.63579701087
Central,poly_deg2,2.0,2031-03-31,-32516.10828528128
Central,poly_deg2,2.0,2031-04-30,-33815.11323646293
Central,poly_deg2,2.0,2031-05-31,-35133.650650555806
Central,poly_deg2,2.0,2031-06-30,-36471.720527559926
Central,poly_deg2,2.0,2031-07-31,-37829.32286747529
Central,poly_deg2,2.0,2031-08-31,-39206.45767030187
Central,poly_deg2,2.0,2031-09-30,-40603.12493603969
Central,poly_deg2,2.0,2031-10-31,-42019.32466468876
Central,poly_deg2,2.0,2031-11-30,-43455.05685624904
Central,poly_deg2,2.0,2031-12-31,-44910.32151072056
Central,poly_deg2,2.0,2032-01-31,-46385.11862810333
Central,poly_deg2,2.0,2032-02-29,-47879.44820839733
Central,poly_deg2,2.0,2032-03-31,-49393.310251602554
Central,poly_deg2,2.0,2032-04-30,-50926.704757719024
Central,poly_deg2,2.0,2032-05-31,-52479.631726746724
Central,poly_deg2,2.0,2032-06-30,-54052.09115868567
Central,poly_deg2,2.0,2032-07-31,-55644.08305353584
Central,poly_deg2,2.0,2032-08-31,-57255.60741129724
Central,poly_deg2,2.0,2032-09-30,-58886.66423196989
Central,poly_deg2,2.0,2032-10-31,-60537.25351555376
Central,poly_deg2,2.0,2032-11-30,-62207.37526204888
Central,poly_deg2,2.0,2032-12-31,-63897.029471455215
Central,poly_deg2,2.0,2033-01-31,-65606.2161437728
Central,poly_deg2,2.0,2033-02-28,-67334.93527900163
Central,poly_deg2,2.0,2033-03-31,-69083.18687714166
