region,model,horizon,date,y_pred
East,LSTM,1.0,2027-10-31,14084.102492543261
East,LSTM,1.0,2027-11-30,14063.470549701355
East,LSTM,1.0,2027-12-31,14056.03723060134
East,LSTM,1.0,2028-01-31,14053.919440394153
East,LSTM,1.0,2028-02-29,14053.776165134188
East,LSTM,1.0,2028-03-31,14053.968335059297
East,LSTM,1.0,2028-04-30,14054.410771190067
East,LSTM,1.0,2028-05-31,14054.263781787695
East,LSTM,1.0,2028-06-30,14054.004146485411
East,LSTM,1.0,2028-07-31,14053.821729878555
East,LSTM,1.0,2028-08-31,14054.19320323015
East,LSTM,1.0,2028-09-30,14054.197025742758
East,LSTM,1.0,2028-10-31,14054.198129148459
East,LSTM,1.0,2028-11-30,14054.198276926008
East,LSTM,1.0,2028-12-31,14054.198336037029
East,LSTM,1.0,2029-01-31,14054.198276926008
East,LSTM,1.0,2029-02-28,14054.198198111317
East,LSTM,1.0,2029-03-31,14054.198207963153
East,LSTM,1.0,2029-04-30,14054.198207963153
East,LSTM,1.0,2029-05-31,14054.198168555806
East,LSTM,1.0,2029-06-30,14054.19821781499
East,LSTM,1.0,2029-07-31,14054.198227666826
East,LSTM,1.0,2029-08-31,14054.198227666826
East,LSTM,1.0,2029-09-30,14054.198227666826
East,LSTM,1.0,2029-10-31,14054.198227666826
East,LSTM,1.0,2029-11-30,14054.198227666826
East,LSTM,1.0,2029-12-31,14054.198227666826
East,LSTM,1.0,2030-01-31,14054.198227666826
East,LSTM,1.0,2030-02-28,14054.198227666826
East,LSTM,1.0,2030-03-31,14054.198227666826
East,LSTM,1.0,2030-04-30,14054.198227666826
East,LSTM,1.0,2030-05-31,14054.198227666826
East,LSTM,1.0,2030-06-30,14054.198227666826
