region,model,horizon,date,y_pred
East,MLP,1.5,2027-10-31,13401.419138995925
East,MLP,1.5,2027-11-30,12341.075421345387
East,MLP,1.5,2027-12-31,12914.929929670398
East,MLP,1.5,2028-01-31,13560.504941627596
East,MLP,1.5,2028-02-29,13449.619604325533
East,MLP,1.5,2028-03-31,13533.250860209295
East,MLP,1.5,2028-04-30,13191.253455042035
East,MLP,1.5,2028-05-31,13058.777147862289
East,MLP,1.5,2028-06-30,13141.962746064706
East,MLP,1.5,2028-07-31,13654.365989991478
East,MLP,1.5,2028-08-31,13318.08111317732
East,MLP,1.5,2028-09-30,13259.366452548045
East,MLP,1.5,2028-10-31,13308.476754693187
East,MLP,1.5,2028-11-30,13355.68368200334
East,MLP,1.5,2028-12-31,13331.132195813992
East,MLP,1.5,2029-01-31,13332.88298540341
East,MLP,1.5,2029-02-28,13314.72612932739
East,MLP,1.5,2029-03-31,13310.523887528137
East,MLP,1.5,2029-04-30,13322.113272869166
East,MLP,1.5,2029-05-31,13351.239163837927
East,MLP,1.5,2029-06-30,13328.915769018564
East,MLP,1.5,2029-07-31,13326.032097032536
East,MLP,1.5,2029-08-31,13330.409701523626
East,MLP,1.5,2029-09-30,13333.379596783752
East,MLP,1.5,2029-10-31,13330.957069566233
East,MLP,1.5,2029-11-30,13330.358629602588
East,MLP,1.5,2029-12-31,13329.673178217912
East,MLP,1.5,2030-01-31,13329.933503148759
East,MLP,1.5,2030-02-28,13330.767520229665
East,MLP,1.5,2030-03-31,13332.44524859871
East,MLP,1.5,2030-04-30,13330.952577128735
East,MLP,1.5,2030-05-31,13330.85792068249
East,MLP,1.5,2030-06-30,13331.19981882055
East,MLP,1.5,2030-07-31,13331.35366510121
East,MLP,1.5,2030-08-31,13331.134402625394
East,MLP,1.5,2030-09-30,13331.063784660502
East,MLP,1.5,2030-10-31,13331.062996513572
East,MLP,1.5,2030-11-30,13331.11406843461
East,MLP,1.5,2030-12-31,13331.169711607841
East,MLP,1.5,2031-01-31,13331.265707903865
East,MLP,1.5,2031-02-28,13331.169475163762
East,MLP,1.5,2031-03-31,13331.170657384157
East,MLP,1.5,2031-04-30,13331.194301792044
East,MLP,1.5,2031-05-31,13331.19950356178
East,MLP,1.5,2031-06-30,13331.18113973832
East,MLP,1.5,2031-07-31,13331.175622709812
East,MLP,1.5,2031-08-31,13331.179090556303
East,MLP,1.5,2031-09-30,13331.184528770118
East,MLP,1.5,2031-10-31,13331.188154245994
