region,model,horizon,date,y_pred
East,RNN,2.0,2027-10-31,12201.685331669783
East,RNN,2.0,2027-11-30,12741.189717103167
East,RNN,2.0,2027-12-31,12625.55579455025
East,RNN,2.0,2028-01-31,12601.251550052717
East,RNN,2.0,2028-02-29,12518.540258672534
East,RNN,2.0,2028-03-31,12574.179964055966
East,RNN,2.0,2028-04-30,12549.65566893569
East,RNN,2.0,2028-05-31,12576.721265015774
East,RNN,2.0,2028-06-30,12565.486388163681
East,RNN,2.0,2028-07-31,12577.260988033167
East,RNN,2.0,2028-08-31,12572.411992863483
East,RNN,2.0,2028-09-30,12573.32466700796
East,RNN,2.0,2028-10-31,12572.849887297569
East,RNN,2.0,2028-11-30,12573.003733578227
East,RNN,2.0,2028-12-31,12572.764767429171
East,RNN,2.0,2029-01-31,12572.874477481771
East,RNN,2.0,2029-02-28,12572.806066328283
East,RNN,2.0,2029-03-31,12572.849256780026
East,RNN,2.0,2029-04-30,12572.830971771258
East,RNN,2.0,2029-05-31,12572.84326686336
East,RNN,2.0,2029-06-30,12572.838853240555
East,RNN,2.0,2029-07-31,12572.840744793186
East,RNN,2.0,2029-08-31,12572.83979901687
East,RNN,2.0,2029-09-30,12572.840429534413
East,RNN,2.0,2029-10-31,12572.840429534413
East,RNN,2.0,2029-11-30,12572.840429534413
East,RNN,2.0,2029-12-31,12572.840114275641
East,RNN,2.0,2030-01-31,12572.840429534413
East,RNN,2.0,2030-02-28,12572.83979901687
East,RNN,2.0,2030-03-31,12572.840429534413
East,RNN,2.0,2030-04-30,12572.83979901687
East,RNN,2.0,2030-05-31,12572.83979901687
East,RNN,2.0,2030-06-30,12572.840114275641
East,RNN,2.0,2030-07-31,12572.83979901687
East,RNN,2.0,2030-08-31,12572.840114275641
East,RNN,2.0,2030-09-30,12572.840429534413
East,RNN,2.0,2030-10-31,12572.840114275641
East,RNN,2.0,2030-11-30,12572.840429534413
East,RNN,2.0,2030-12-31,12572.840114275641
East,RNN,2.0,2031-01-31,12572.840114275641
East,RNN,2.0,2031-02-28,12572.840114275641
East,RNN,2.0,2031-03-31,12572.840114275641
East,RNN,2.0,2031-04-30,12572.840429534413
East,RNN,2.0,2031-05-31,12572.840114275641
East,RNN,2.0,2031-06-30,12572.840114275641
East,RNN,2.0,2031-07-31,12572.840429534413
East,RNN,2.0,2031-08-31,12572.840114275641
East,RNN,2.0,2031-09-30,12572.840429534413
East,RNN,2.0,2031-10-31,12572.840114275641
East,RNN,2.0,2031-11-30,12572.840429534413
East,RNN,2.0,2031-12-31,12572.840114275641
East,RNN,2.0,2032-01-31,12572.83979901687
East,RNN,2.0,2032-02-29,12572.840429534413
East,RNN,2.0,2032-03-31,12572.840114275641
East,RNN,2.0,2032-04-30,12572.840429534413
East,RNN,2.0,2032-05-31,12572.840429534413
East,RNN,2.0,2032-06-30,12572.83979901687
East,RNN,2.0,2032-07-31,12572.840429534413
East,RNN,2.0,2032-08-31,12572.840114275641
East,RNN,2.0,2032-09-30,12572.840114275641
East,RNN,2.0,2032-10-31,12572.840429534413
East,RNN,2.0,2032-11-30,12572.840114275641
East,RNN,2.0,2032-12-31,12572.83979901687
East,RNN,2.0,2033-01-31,12572.83979901687
East,RNN,2.0,2033-02-28,12572.840114275641
East,RNN,2.0,2033-03-31,12572.840114275641
