region,model,horizon,date,y_pred
East,poly_deg2,0.5,2027-10-31,-1246.7254686907127
East,poly_deg2,0.5,2027-11-30,-2572.7514331212014
East,poly_deg2,0.5,2027-12-31,-3949.4716838081367
East,poly_deg2,0.5,2028-01-31,-5376.88622075151
East,poly_deg2,0.5,2028-02-29,-6854.995043951318
East,poly_deg2,0.5,2028-03-31,-8383.798153407555
East,poly_deg2,0.5,2028-04-30,-9963.29554912024
East,poly_deg2,0.5,2028-05-31,-11593.487231089372
East,poly_deg2,0.5,2028-06-30,-13274.37319931492
East,poly_deg2,0.5,2028-07-31,-15005.953453796928
East,poly_deg2,0.5,2028-08-31,-16788.22799453536
East,poly_deg2,0.5,2028-09-30,-18621.196821530233
East,poly_deg2,0.5,2028-10-31,-20504.859934781547
East,poly_deg2,0.5,2028-11-30,-22439.2173342893
East,poly_deg2,0.5,2028-12-31,-24424.269020053485
East,poly_deg2,0.5,2029-01-31,-26460.014992074117
