region,model,horizon,date,y_pred
South,MLP,1.5,2027-10-31,6485.115732931441
South,MLP,1.5,2027-11-30,6264.477023126517
South,MLP,1.5,2027-12-31,6438.771529045476
South,MLP,1.5,2028-01-31,6134.8703295365995
South,MLP,1.5,2028-02-29,5633.83347117467
South,MLP,1.5,2028-03-31,6545.115196614237
South,MLP,1.5,2028-04-30,6176.2356626227265
South,MLP,1.5,2028-05-31,6437.304120532321
South,MLP,1.5,2028-06-30,5983.37654552301
South,MLP,1.5,2028-07-31,6326.752515896977
South,MLP,1.5,2028-08-31,6150.764663363163
South,MLP,1.5,2028-09-30,6115.589119534493
South,MLP,1.5,2028-10-31,6148.010047980721
South,MLP,1.5,2028-11-30,6194.00720362464
South,MLP,1.5,2028-12-31,6084.087310944902
South,MLP,1.5,2029-01-31,6167.4557262851995
South,MLP,1.5,2029-02-28,6120.052266035792
South,MLP,1.5,2029-03-31,6155.736765167241
South,MLP,1.5,2029-04-30,6122.744496889748
South,MLP,1.5,2029-05-31,6141.788426148611
South,MLP,1.5,2029-06-30,6137.020491892304
South,MLP,1.5,2029-07-31,6136.5137319395
South,MLP,1.5,2029-08-31,6129.892373465918
South,MLP,1.5,2029-09-30,6143.262420711693
South,MLP,1.5,2029-10-31,6130.495545871836
South,MLP,1.5,2029-11-30,6138.100604080518
South,MLP,1.5,2029-12-31,6134.150803581951
South,MLP,1.5,2030-01-31,6136.795834411421
South,MLP,1.5,2030-02-28,6134.736596133892
South,MLP,1.5,2030-03-31,6135.991970428527
South,MLP,1.5,2030-04-30,6135.186276987319
South,MLP,1.5,2030-05-31,6136.307186095921
South,MLP,1.5,2030-06-30,6134.648050351525
South,MLP,1.5,2030-07-31,6136.274438792111
South,MLP,1.5,2030-08-31,6135.209328162067
South,MLP,1.5,2030-09-30,6135.7113315232555
South,MLP,1.5,2030-10-31,6135.461976355144
South,MLP,1.5,2030-11-30,6135.678584219446
South,MLP,1.5,2030-12-31,6135.459049221842
South,MLP,1.5,2031-01-31,6135.660289636313
South,MLP,1.5,2031-02-28,6135.461427517649
South,MLP,1.5,2031-03-31,6135.672547007012
South,MLP,1.5,2031-04-30,6135.478990317458
South,MLP,1.5,2031-05-31,6135.611991936839
South,MLP,1.5,2031-06-30,6135.544850816739
South,MLP,1.5,2031-07-31,6135.576500445561
South,MLP,1.5,2031-08-31,6135.549058570859
South,MLP,1.5,2031-09-30,6135.582903549657
South,MLP,1.5,2031-10-31,6135.547412058378
