region,model,horizon,date,y_pred
South,RNN,1.0,2027-10-31,8064.91450206271
South,RNN,1.0,2027-11-30,7757.119849371318
South,RNN,1.0,2027-12-31,7559.672313612294
South,RNN,1.0,2028-01-31,7438.185533536897
South,RNN,1.0,2028-02-29,7523.825175636786
South,RNN,1.0,2028-03-31,7556.448122017267
South,RNN,1.0,2028-04-30,7551.960963875606
South,RNN,1.0,2028-05-31,7553.440355340713
South,RNN,1.0,2028-06-30,7545.153229336349
South,RNN,1.0,2028-07-31,7548.438433366126
South,RNN,1.0,2028-08-31,7547.934509073709
South,RNN,1.0,2028-09-30,7548.116906067551
South,RNN,1.0,2028-10-31,7548.206229369702
South,RNN,1.0,2028-11-30,7548.060513015042
South,RNN,1.0,2028-12-31,7548.056442470294
South,RNN,1.0,2029-01-31,7548.068059530585
South,RNN,1.0,2029-02-28,7548.0677393753795
South,RNN,1.0,2029-03-31,7548.0756975190425
South,RNN,1.0,2029-04-30,7548.071855656584
South,RNN,1.0,2029-05-31,7548.072358757621
South,RNN,1.0,2029-06-30,7548.071947129501
South,RNN,1.0,2029-07-31,7548.071901393043
South,RNN,1.0,2029-08-31,7548.072038602416
South,RNN,1.0,2029-09-30,7548.071992865958
South,RNN,1.0,2029-10-31,7548.071992865958
South,RNN,1.0,2029-11-30,7548.072038602416
South,RNN,1.0,2029-12-31,7548.072038602416
South,RNN,1.0,2030-01-31,7548.071992865958
South,RNN,1.0,2030-02-28,7548.072038602416
South,RNN,1.0,2030-03-31,7548.072038602416
South,RNN,1.0,2030-04-30,7548.071992865958
South,RNN,1.0,2030-05-31,7548.072038602416
South,RNN,1.0,2030-06-30,7548.071992865958
