region,model,horizon,date,y_pred
South,poly_deg2,1.0,2027-10-31,20368.139753751948
South,poly_deg2,1.0,2027-11-30,21394.314048744436
South,poly_deg2,1.0,2027-12-31,22454.877808860503
South,poly_deg2,1.0,2028-01-31,23549.831034100156
South,poly_deg2,1.0,2028-02-29,24679.1737244634
South,poly_deg2,1.0,2028-03-31,25842.90587995023
South,poly_deg2,1.0,2028-04-30,27041.027500560645
South,poly_deg2,1.0,2028-05-31,28273.538586294642
South,poly_deg2,1.0,2028-06-30,29540.43913715223
South,poly_deg2,1.0,2028-07-31,30841.7291531334
South,poly_deg2,1.0,2028-08-31,32177.40863423816
South,poly_deg2,1.0,2028-09-30,33547.47758046651
South,poly_deg2,1.0,2028-10-31,34951.935991818435
South,poly_deg2,1.0,2028-11-30,36390.78386829396
South,poly_deg2,1.0,2028-12-31,37864.021209893064
South,poly_deg2,1.0,2029-01-31,39371.64801661574
South,poly_deg2,1.0,2029-02-28,40913.66428846202
South,poly_deg2,1.0,2029-03-31,42490.07002543188
South,poly_deg2,1.0,2029-04-30,44100.86522752534
South,poly_deg2,1.0,2029-05-31,45746.04989474236
South,poly_deg2,1.0,2029-06-30,47425.62402708299
South,poly_deg2,1.0,2029-07-31,49139.58762454719
South,poly_deg2,1.0,2029-08-31,50887.940687134986
South,poly_deg2,1.0,2029-09-30,52670.683214846365
South,poly_deg2,1.0,2029-10-31,54487.81520768132
South,poly_deg2,1.0,2029-11-30,56339.33666563988
South,poly_deg2,1.0,2029-12-31,58225.24758872201
South,poly_deg2,1.0,2030-01-31,60145.54797692774
South,poly_deg2,1.0,2030-02-28,62100.23783025705
South,poly_deg2,1.0,2030-03-31,64089.31714870994
South,poly_deg2,1.0,2030-04-30,66112.78593228641
South,poly_deg2,1.0,2030-05-31,68170.64418098648
South,poly_deg2,1.0,2030-06-30,70262.89189481013
