region,model,horizon,date,y_pred
West,RNN,1.5,2027-10-31,14596.25785288867
West,RNN,1.5,2027-11-30,14887.072554506207
West,RNN,1.5,2027-12-31,14839.554206136014
West,RNN,1.5,2028-01-31,15256.827976166833
West,RNN,1.5,2028-02-29,14903.954148418208
West,RNN,1.5,2028-03-31,15011.684553621679
West,RNN,1.5,2028-04-30,15058.575444734865
West,RNN,1.5,2028-05-31,14996.707159262063
West,RNN,1.5,2028-06-30,15005.354497026354
West,RNN,1.5,2028-07-31,15016.019746109068
West,RNN,1.5,2028-08-31,15015.458564825083
West,RNN,1.5,2028-09-30,15011.127518396723
West,RNN,1.5,2028-10-31,15013.245910675167
West,RNN,1.5,2028-11-30,15013.425166756753
West,RNN,1.5,2028-12-31,15012.81850076635
West,RNN,1.5,2029-01-31,15012.955869457444
West,RNN,1.5,2029-02-28,15013.096042835528
West,RNN,1.5,2029-03-31,15013.02720606134
West,RNN,1.5,2029-04-30,15012.995927704247
West,RNN,1.5,2029-05-31,15013.02854743338
West,RNN,1.5,2029-06-30,15013.02574274639
West,RNN,1.5,2029-07-31,15013.018182285805
West,RNN,1.5,2029-08-31,15013.021047944252
West,RNN,1.5,2029-09-30,15013.022267373379
West,RNN,1.5,2029-10-31,15013.021169887164
West,RNN,1.5,2029-11-30,15013.021230858621
West,RNN,1.5,2029-12-31,15013.021535715903
West,RNN,1.5,2030-01-31,15013.021291830077
West,RNN,1.5,2030-02-28,15013.021108915707
West,RNN,1.5,2030-03-31,15013.021352801534
West,RNN,1.5,2030-04-30,15013.021352801534
West,RNN,1.5,2030-05-31,15013.021230858621
West,RNN,1.5,2030-06-30,15013.021474744446
West,RNN,1.5,2030-07-31,15013.021352801534
West,RNN,1.5,2030-08-31,15013.021352801534
West,RNN,1.5,2030-09-30,15013.021291830077
West,RNN,1.5,2030-10-31,15013.021291830077
West,RNN,1.5,2030-11-30,15013.021291830077
West,RNN,1.5,2030-12-31,15013.021352801534
West,RNN,1.5,2031-01-31,15013.021291830077
West,RNN,1.5,2031-02-28,15013.021230858621
West,RNN,1.5,2031-03-31,15013.021352801534
West,RNN,1.5,2031-04-30,15013.021291830077
West,RNN,1.5,2031-05-31,15013.021352801534
West,RNN,1.5,2031-06-30,15013.021291830077
West,RNN,1.5,2031-07-31,15013.021352801534
West,RNN,1.5,2031-08-31,15013.021291830077
West,RNN,1.5,2031-09-30,15013.021169887164
West,RNN,1.5,2031-10-31,15013.021230858621
