region,approach,target,2022,2023,2024,2025,2026
Івано-Франківська,bottom_up,divorce,8028.3520146480205,8179.255451298589,8330.158887949157,8481.062324599727,8631.965761250296
Івано-Франківська,bottom_up,marriage,53665.43313013505,52146.7946330494,50628.156135963756,49109.51763887812,47590.87914179247
Івано-Франківська,top_down,divorce,7938.284193715526,7977.970799495373,8017.657405275219,8057.3440110550655,8097.0306168349125
Івано-Франківська,top_down,marriage,151012.32278107837,141011.07308780996,131009.82339454156,121008.57370127313,111007.3240080047
Автономна Республіка Крим,bottom_up,divorce,-437.8153064233286,-825.588230270724,-1213.3611541181197,-1601.134077965515,-1988.9070018129103
Автономна Республіка Крим,bottom_up,marriage,-8112.706618823133,-14764.400095830175,-21416.093572837217,-28067.787049844257,-34719.480526851294
Автономна Республіка Крим,top_down,divorce,0.0,0.0,0.0,0.0,0.0
Автономна Республіка Крим,top_down,marriage,0.0,0.0,0.0,0.0,0.0
Волинська,bottom_up,divorce,5506.148638017044,5609.905697352985,5713.662756688927,5817.41981602487,5921.176875360811
Волинська,bottom_up,marriage,42599.3376997848,41567.581318480195,40535.82493717558,39504.068555870974,38472.31217456637
Волинська,top_down,divorce,5312.494835851063,5339.054087587704,5365.613339324345,5392.172591060986,5418.731842797628
Волинська,top_down,marriage,117892.06051546465,110084.30077536475,102276.54103526488,94468.78129516498,86661.0215550651
Вінницька,bottom_up,divorce,10201.064533414483,10335.956737816223,10470.848942217963,10605.7411466197,10740.633351021439
Вінницька,bottom_up,marriage,56256.04705894253,51891.915790408195,47527.78452187386,43163.65325333952,38799.521984805186
Вінницька,top_down,divorce,10123.548476230113,10174.160077889244,10224.771679548376,10275.383281207507,10325.994882866638
Вінницька,top_down,marriage,171508.4452228521,160149.77757514862,148791.10992744513,137432.44227974163,126073.77463203811
Дніпропетровська,bottom_up,divorce,23556.98518290975,23704.18531851581,23851.385454121875,23998.58558972794,24145.785725334004
Дніпропетровська,bottom_up,marriage,126930.2748406036,119365.66446534554,111801.05409008748,104236.44371482942,96671.83333957136
Дніпропетровська,top_down,divorce,23600.63089205042,23718.61973088665,23836.608569722874,23954.5974085591,24072.58624739533
Дніпропетровська,top_down,marriage,394079.6593778255,367980.537134739,341881.41489165253,315782.292648566,289683.1704054795
Донецька,bottom_up,divorce,11487.154913025935,11023.674058580986,10560.193204136038,10096.71234969109,9633.231495246142
Донецька,bottom_up,marriage,47358.15917138386,36440.42616419383,25522.693157003803,14604.960149813778,3687.2271426237567
Донецька,top_down,divorce,12150.73542702777,12211.481733793838,12272.228040559905,12332.974347325971,12393.72065409204
Донецька,top_down,marriage,176678.93273766158,164977.83385177032,153276.73496587906,141575.63607998777,129874.53719409648
Житомирська,bottom_up,divorce,7831.875723067234,7930.423036359557,8028.97034965188,8127.517662944202,8226.064976236525
Житомирська,bottom_up,marriage,41793.129623659064,37993.82093933568,34194.5122550123,30395.203570688915,26595.894886365535
