approach,level,region,year,target,value
bottom_up,region,Івано-Франківська,2022,marriage,53665.43313013505
bottom_up,region,Івано-Франківська,2023,marriage,52146.7946330494
bottom_up,region,Івано-Франківська,2024,marriage,50628.156135963756
bottom_up,region,Івано-Франківська,2025,marriage,49109.51763887812
bottom_up,region,Івано-Франківська,2026,marriage,47590.87914179247
bottom_up,region,Автономна Республіка Крим,2022,marriage,-8112.706618823133
bottom_up,region,Автономна Республіка Крим,2023,marriage,-14764.400095830175
bottom_up,region,Автономна Республіка Крим,2024,marriage,-21416.093572837217
bottom_up,region,Автономна Республіка Крим,2025,marriage,-28067.787049844257
bottom_up,region,Автономна Республіка Крим,2026,marriage,-34719.480526851294
bottom_up,region,Волинська,2022,marriage,42599.3376997848
bottom_up,region,Волинська,2023,marriage,41567.581318480195
bottom_up,region,Волинська,2024,marriage,40535.82493717558
bottom_up,region,Волинська,2025,marriage,39504.068555870974
bottom_up,region,Волинська,2026,marriage,38472.31217456637
bottom_up,region,Вінницька,2022,marriage,56256.04705894253
bottom_up,region,Вінницька,2023,marriage,51891.915790408195
bottom_up,region,Вінницька,2024,marriage,47527.78452187386
bottom_up,region,Вінницька,2025,marriage,43163.65325333952
bottom_up,region,Вінницька,2026,marriage,38799.521984805186
bottom_up,region,Дніпропетровська,2022,marriage,126930.2748406036
bottom_up,region,Дніпропетровська,2023,marriage,119365.66446534554
bottom_up,region,Дніпропетровська,2024,marriage,111801.05409008748
bottom_up,region,Дніпропетровська,2025,marriage,104236.44371482942
bottom_up,region,Дніпропетровська,2026,marriage,96671.83333957136
bottom_up,region,Донецька,2022,marriage,47358.15917138386
bottom_up,region,Донецька,2023,marriage,36440.42616419383
bottom_up,region,Донецька,2024,marriage,25522.693157003803
bottom_up,region,Донецька,2025,marriage,14604.960149813778
bottom_up,region,Донецька,2026,marriage,3687.2271426237567
bottom_up,region,Житомирська,2022,marriage,41793.129623659064
bottom_up,region,Житомирська,2023,marriage,37993.82093933568
bottom_up,region,Житомирська,2024,marriage,34194.5122550123
bottom_up,region,Житомирська,2025,marriage,30395.203570688915
bottom_up,region,Житомирська,2026,marriage,26595.894886365535
bottom_up,region,Закарпатська,2022,marriage,50805.48663175909
bottom_up,region,Закарпатська,2023,marriage,49571.3675042384
bottom_up,region,Закарпатська,2024,marriage,48337.24837671771
bottom_up,region,Закарпатська,2025,marriage,47103.129249197016
bottom_up,region,Закарпатська,2026,marriage,45869.01012167632
bottom_up,region,Запорізька,2022,marriage,61110.39081750976
bottom_up,region,Запорізька,2023,marriage,56344.0573151092
bottom_up,region,Запорізька,2024,marriage,51577.723812708646
bottom_up,region,Запорізька,2025,marriage,46811.39031030808
bottom_up,region,Запорізька,2026,marriage,42045.05680790752
bottom_up,region,Київ,2022,marriage,190020.64019428022
bottom_up,region,Київ,2023,marriage,184568.07433335372
bottom_up,region,Київ,2024,marriage,179115.5084724272
bottom_up,region,Київ,2025,marriage,173662.9426115007
bottom_up,region,Київ,2026,marriage,168210.3767505742
bottom_up,region,Київська,2022,marriage,84965.833914274
bottom_up,region,Київська,2023,marriage,82965.58443242934
bottom_up,region,Київська,2024,marriage,80965.3349505847
bottom_up,region,Київська,2025,marriage,78965.08546874006
bottom_up,region,Київська,2026,marriage,76964.8359868954
bottom_up,region,Кіровоградська,2022,marriage,28582.09707237586
bottom_up,region,Кіровоградська,2023,marriage,25585.896425512507
bottom_up,region,Кіровоградська,2024,marriage,22589.695778649155
bottom_up,region,Кіровоградська,2025,marriage,19593.4951317858
bottom_up,region,Кіровоградська,2026,marriage,16597.294484922444
bottom_up,region,Луганська,2022,marriage,11252.691319601123
bottom_up,region,Луганська,2023,marriage,4768.827510192108
bottom_up,region,Луганська,2024,marriage,-1715.0362992169066
bottom_up,region,Луганська,2025,marriage,-8198.90010862592
bottom_up,region,Луганська,2026,marriage,-14682.763918034932
bottom_up,region,Львівська,2022,marriage,98681.67729202627
bottom_up,region,Львівська,2023,marriage,93123.93850068009
bottom_up,region,Львівська,2024,marriage,87566.19970933389
bottom_up,region,Львівська,2025,marriage,82008.46091798772
bottom_up,region,Львівська,2026,marriage,76450.72212664151
bottom_up,region,Миколаївська,2022,marriage,40830.97516789323
bottom_up,region,Миколаївська,2023,marriage,37390.797064935134
bottom_up,region,Миколаївська,2024,marriage,33950.61896197703
bottom_up,region,Миколаївська,2025,marriage,30510.44085901893
bottom_up,region,Миколаївська,2026,marriage,27070.26275606083
bottom_up,region,Одеська,2022,marriage,116409.496367271
bottom_up,region,Одеська,2023,marriage,113668.9493989065
bottom_up,region,Одеська,2024,marriage,110928.40243054199
bottom_up,region,Одеська,2025,marriage,108187.85546217747
bottom_up,region,Одеська,2026,marriage,105447.30849381296
bottom_up,region,Полтавська,2022,marriage,48905.09290137407
bottom_up,region,Полтавська,2023,marriage,44549.99619482661
bottom_up,region,Полтавська,2024,marriage,40194.899488279145
bottom_up,region,Полтавська,2025,marriage,35839.80278173168
bottom_up,region,Полтавська,2026,marriage,31484.706075184222
bottom_up,region,Рівненська,2022,marriage,46849.62607718137
bottom_up,region,Рівненська,2023,marriage,45649.4306782421
bottom_up,region,Рівненська,2024,marriage,44449.23527930283
bottom_up,region,Рівненська,2025,marriage,43249.03988036357
bottom_up,region,Рівненська,2026,marriage,42048.8444814243
bottom_up,region,Севастополь,2022,marriage,-1737.9997893991645
bottom_up,region,Севастополь,2023,marriage,-2950.9233957264
bottom_up,region,Севастополь,2024,marriage,-4163.847002053635
bottom_up,region,Севастополь,2025,marriage,-5376.770608380872
bottom_up,region,Севастополь,2026,marriage,-6589.694214708106
bottom_up,region,Сумська,2022,marriage,32945.40574219042
bottom_up,region,Сумська,2023,marriage,30078.654805438426
bottom_up,region,Сумська,2024,marriage,27211.903868686437
bottom_up,region,Сумська,2025,marriage,24345.15293193444
bottom_up,region,Сумська,2026,marriage,21478.401995182452
bottom_up,region,Тернопільська,2022,marriage,37298.01398056766
bottom_up,region,Тернопільська,2023,marriage,35136.926357662654
bottom_up,region,Тернопільська,2024,marriage,32975.83873475764
bottom_up,region,Тернопільська,2025,marriage,30814.751111852638
bottom_up,region,Тернопільська,2026,marriage,28653.663488947634
bottom_up,region,Харківська,2022,marriage,110754.99084952929
bottom_up,region,Харківська,2023,marriage,104773.71813883464
bottom_up,region,Харківська,2024,marriage,98792.44542813997
bottom_up,region,Харківська,2025,marriage,92811.17271744531
bottom_up,region,Харківська,2026,marriage,86829.90000675066
bottom_up,region,Херсонська,2022,marriage,39069.69296245475
bottom_up,region,Херсонська,2023,marriage,36400.24221478506
bottom_up,region,Херсонська,2024,marriage,33730.79146711537
bottom_up,region,Херсонська,2025,marriage,31061.34071944569
bottom_up,region,Херсонська,2026,marriage,28391.889971776
bottom_up,region,Хмельницька,2022,marriage,42352.55837883429
bottom_up,region,Хмельницька,2023,marriage,38392.22527405048
bottom_up,region,Хмельницька,2024,marriage,34431.89216926667
bottom_up,region,Хмельницька,2025,marriage,30471.559064482855
bottom_up,region,Хмельницька,2026,marriage,26511.22595969904
bottom_up,region,Черкаська,2022,marriage,41477.57876670906
bottom_up,region,Черкаська,2023,marriage,38403.53668507636
bottom_up,region,Черкаська,2024,marriage,35329.494603443665
bottom_up,region,Черкаська,2025,marriage,32255.452521810967
bottom_up,region,Черкаська,2026,marriage,29181.410440178268
bottom_up,region,Чернівецька,2022,marriage,33517.449307678595
bottom_up,region,Чернівецька,2023,marriage,31187.653438269044
bottom_up,region,Чернівецька,2024,marriage,28857.8575688595
bottom_up,region,Чернівецька,2025,marriage,26528.06169944995
bottom_up,region,Чернівецька,2026,marriage,24198.265830040407
bottom_up,region,Чернігівська,2022,marriage,32080.395967485812
bottom_up,region,Чернігівська,2023,marriage,29330.715469286977
bottom_up,region,Чернігівська,2024,marriage,26581.03497108814
bottom_up,region,Чернігівська,2025,marriage,23831.354472889303
bottom_up,region,Чернігівська,2026,marriage,21081.673974690464
bottom_up,country,COUNTRY_TOTAL,2022,marriage,1506661.7688272824
bottom_up,country,COUNTRY_TOTAL,2023,marriage,1403581.4715610857
bottom_up,country,COUNTRY_TOTAL,2024,marriage,1300501.1742948887
bottom_up,country,COUNTRY_TOTAL,2025,marriage,1197420.8770286918
bottom_up,country,COUNTRY_TOTAL,2026,marriage,1094340.579762495
top_down,country,COUNTRY_TOTAL,2022,marriage,4552370.409278598
top_down,country,COUNTRY_TOTAL,2023,marriage,4250875.853596241
top_down,country,COUNTRY_TOTAL,2024,marriage,3949381.297913885
top_down,country,COUNTRY_TOTAL,2025,marriage,3647886.7422315287
top_down,country,COUNTRY_TOTAL,2026,marriage,3346392.1865491723
top_down,region,Івано-Франківська,2022,marriage,151012.32278107837
top_down,region,Автономна Республіка Крим,2022,marriage,0.0
top_down,region,Волинська,2022,marriage,117892.06051546465
top_down,region,Вінницька,2022,marriage,171508.4452228521
top_down,region,Дніпропетровська,2022,marriage,394079.6593778255
top_down,region,Донецька,2022,marriage,176678.93273766158
top_down,region,Житомирська,2022,marriage,129334.80529410925
top_down,region,Закарпатська,2022,marriage,139688.55316266866
top_down,region,Запорізька,2022,marriage,190987.1832759713
top_down,region,Київ,2022,marriage,535981.4308357552
top_down,region,Київська,2022,marriage,236824.14216934185
top_down,region,Кіровоградська,2022,marriage,87263.63896970295
top_down,region,Луганська,2022,marriage,60040.67313285643
top_down,region,Львівська,2022,marriage,290897.62526407326
top_down,region,Миколаївська,2022,marriage,126753.76626008246
top_down,region,Одеська,2022,marriage,337628.07465285534
top_down,region,Полтавська,2022,marriage,149267.3361344324
top_down,region,Рівненська,2022,marriage,133199.7923120713
top_down,region,Севастополь,2022,marriage,0.0
top_down,region,Сумська,2022,marriage,104332.25073842813
top_down,region,Тернопільська,2022,marriage,111017.1791237271
top_down,region,Харківська,2022,marriage,328075.7629270119
top_down,region,Херсонська,2022,marriage,115138.01959251662
top_down,region,Хмельницька,2022,marriage,130672.7800067309
top_down,region,Черкаська,2022,marriage,132098.23412145456
top_down,region,Чернівецька,2022,marriage,105527.89953142671
top_down,region,Чернігівська,2022,marriage,96469.84113849945
top_down,region,Івано-Франківська,2023,marriage,141011.07308780996
top_down,region,Автономна Республіка Крим,2023,marriage,0.0
top_down,region,Волинська,2023,marriage,110084.30077536475
top_down,region,Вінницька,2023,marriage,160149.77757514862
top_down,region,Дніпропетровська,2023,marriage,367980.537134739
top_down,region,Донецька,2023,marriage,164977.83385177032
top_down,region,Житомирська,2023,marriage,120769.21502998334
top_down,region,Закарпатська,2023,marriage,130437.25450211791
top_down,region,Запорізька,2023,marriage,178338.47704471837
top_down,region,Київ,2023,marriage,500484.43282907776
top_down,region,Київська,2023,marriage,221139.74413075703
top_down,region,Кіровоградська,2023,marriage,81484.33946350012
top_down,region,Луганська,2023,marriage,56064.29721402413
top_down,region,Львівська,2023,marriage,271632.0465889973
top_down,region,Миколаївська,2023,marriage,118359.1131444752
top_down,region,Одеська,2023,marriage,315267.63004890166
top_down,region,Полтавська,2023,marriage,139381.65348127784
top_down,region,Рівненська,2023,marriage,124378.23154490298
top_down,region,Севастополь,2023,marriage,0.0
top_down,region,Сумська,2023,marriage,97422.53058129635
top_down,region,Тернопільська,2023,marriage,103664.729282476
top_down,region,Харківська,2023,marriage,306347.94917700905
top_down,region,Херсонська,2023,marriage,107512.6545764275
top_down,region,Хмельницька,2023,marriage,122018.5783038974
top_down,region,Черкаська,2023,marriage,123349.62739083858
top_down,region,Чернівецька,2023,marriage,98538.99390185127
top_down,region,Чернігівська,2023,marriage,90080.83293487913
top_down,region,Івано-Франківська,2024,marriage,131009.82339454156
top_down,region,Автономна Республіка Крим,2024,marriage,0.0
top_down,region,Волинська,2024,marriage,102276.54103526488
top_down,region,Вінницька,2024,marriage,148791.10992744513
top_down,region,Дніпропетровська,2024,marriage,341881.41489165253
top_down,region,Донецька,2024,marriage,153276.73496587906
top_down,region,Житомирська,2024,marriage,112203.62476585747
top_down,region,Закарпатська,2024,marriage,121185.95584156716
top_down,region,Запорізька,2024,marriage,165689.77081346544
top_down,region,Київ,2024,marriage,464987.4348224004
top_down,region,Київська,2024,marriage,205455.3460921722
top_down,region,Кіровоградська,2024,marriage,75705.0399572973
top_down,region,Луганська,2024,marriage,52087.92129519184
top_down,region,Львівська,2024,marriage,252366.46791392143
top_down,region,Миколаївська,2024,marriage,109964.46002886796
top_down,region,Одеська,2024,marriage,292907.185444948
top_down,region,Полтавська,2024,marriage,129495.97082812326
top_down,region,Рівненська,2024,marriage,115556.67077773467
top_down,region,Севастополь,2024,marriage,0.0
top_down,region,Сумська,2024,marriage,90512.81042416458
top_down,region,Тернопільська,2024,marriage,96312.27944122489
top_down,region,Харківська,2024,marriage,284620.13542700623
top_down,region,Херсонська,2024,marriage,99887.28956033842
top_down,region,Хмельницька,2024,marriage,113364.37660106392
top_down,region,Черкаська,2024,marriage,114601.0206602226
top_down,region,Чернівецька,2024,marriage,91550.08827227584
top_down,region,Чернігівська,2024,marriage,83691.8247312588
top_down,region,Івано-Франківська,2025,marriage,121008.57370127313
top_down,region,Автономна Республіка Крим,2025,marriage,0.0
top_down,region,Волинська,2025,marriage,94468.78129516498
top_down,region,Вінницька,2025,marriage,137432.44227974163
top_down,region,Дніпропетровська,2025,marriage,315782.292648566
top_down,region,Донецька,2025,marriage,141575.63607998777
