currency,model,horizon,step,y_pred
EUR,TorchNN,1.0,256,45.762333
EUR,TorchNN,1.0,257,45.92379
EUR,TorchNN,1.0,258,46.085247
EUR,TorchNN,1.0,259,46.2467
EUR,TorchNN,1.0,260,46.408157
EUR,TorchNN,1.0,261,46.569614
EUR,TorchNN,1.0,262,46.731075
EUR,TorchNN,1.0,263,46.89252
EUR,TorchNN,1.0,264,47.053986
EUR,TorchNN,1.0,265,47.215443
EUR,TorchNN,1.0,266,47.376904
EUR,TorchNN,1.0,267,47.538357
EUR,TorchNN,1.0,268,47.69981
EUR,TorchNN,1.0,269,47.86127
EUR,TorchNN,1.0,270,48.022724
EUR,TorchNN,1.0,271,48.184177
EUR,TorchNN,1.0,272,48.34564
EUR,TorchNN,1.0,273,48.507095
EUR,TorchNN,1.0,274,48.668552
EUR,TorchNN,1.0,275,48.830006
EUR,TorchNN,1.0,276,48.991467
EUR,TorchNN,1.0,277,49.15292
EUR,TorchNN,1.0,278,49.314377
EUR,TorchNN,1.0,279,49.475834
EUR,TorchNN,1.0,280,49.637287
EUR,TorchNN,1.0,281,49.79874
EUR,TorchNN,1.0,282,49.9602
EUR,TorchNN,1.0,283,50.12166
EUR,TorchNN,1.0,284,50.283115
EUR,TorchNN,1.0,285,50.444572
EUR,TorchNN,1.0,286,50.606037
EUR,TorchNN,1.0,287,50.767487
EUR,TorchNN,1.0,288,50.928947
EUR,TorchNN,1.0,289,51.090405
EUR,TorchNN,1.0,290,51.251858
EUR,TorchNN,1.0,291,51.41331
EUR,TorchNN,1.0,292,51.57477
EUR,TorchNN,1.0,293,51.736225
EUR,TorchNN,1.0,294,51.897686
EUR,TorchNN,1.0,295,52.05914
EUR,TorchNN,1.0,296,52.220596
EUR,TorchNN,1.0,297,52.382053
EUR,TorchNN,1.0,298,52.54351
EUR,TorchNN,1.0,299,52.704964
EUR,TorchNN,1.0,300,52.86643
EUR,TorchNN,1.0,301,53.027878
EUR,TorchNN,1.0,302,53.189342
EUR,TorchNN,1.0,303,53.350796
EUR,TorchNN,1.0,304,53.51225
EUR,TorchNN,1.0,305,53.673706
EUR,TorchNN,1.0,306,53.83516
EUR,TorchNN,1.0,307,53.996624
EUR,TorchNN,1.0,308,54.158077
EUR,TorchNN,1.0,309,54.31953
EUR,TorchNN,1.0,310,54.480988
EUR,TorchNN,1.0,311,54.642445
EUR,TorchNN,1.0,312,54.803905
EUR,TorchNN,1.0,313,54.96536
EUR,TorchNN,1.0,314,55.126816
EUR,TorchNN,1.0,315,55.28827
EUR,TorchNN,1.0,316,55.449734
EUR,TorchNN,1.0,317,55.61119
EUR,TorchNN,1.0,318,55.77264
EUR,TorchNN,1.0,319,55.9341
EUR,TorchNN,1.0,320,56.095554
EUR,TorchNN,1.0,321,56.257008
EUR,TorchNN,1.0,322,56.418476
