currency,model,horizon,step,y_pred
RUB,Poly2,1.5,256,0.4736029984743642
RUB,Poly2,1.5,257,0.4739227153672371
RUB,Poly2,1.5,258,0.47424305134113726
RUB,Poly2,1.5,259,0.4745640063960647
RUB,Poly2,1.5,260,0.4748855805320195
RUB,Poly2,1.5,261,0.4752077737490016
RUB,Poly2,1.5,262,0.47553058604701093
RUB,Poly2,1.5,263,0.47585401742604755
RUB,Poly2,1.5,264,0.4761780678861115
RUB,Poly2,1.5,265,0.4765027374272027
RUB,Poly2,1.5,266,0.4768280260493213
RUB,Poly2,1.5,267,0.4771539337524671
RUB,Poly2,1.5,268,0.4774804605366403
RUB,Poly2,1.5,269,0.4778076064018407
RUB,Poly2,1.5,270,0.47813537134806844
RUB,Poly2,1.5,271,0.4784637553753235
RUB,Poly2,1.5,272,0.4787927584836058
RUB,Poly2,1.5,273,0.4791223806729154
RUB,Poly2,1.5,274,0.47945262194325233
RUB,Poly2,1.5,275,0.47978348229461654
RUB,Poly2,1.5,276,0.480114961727008
RUB,Poly2,1.5,277,0.4804470602404268
RUB,Poly2,1.5,278,0.4807797778348729
RUB,Poly2,1.5,279,0.48111311451034633
RUB,Poly2,1.5,280,0.481447070266847
RUB,Poly2,1.5,281,0.48178164510437504
RUB,Poly2,1.5,282,0.48211683902293034
RUB,Poly2,1.5,283,0.4824526520225129
RUB,Poly2,1.5,284,0.4827890841031228
RUB,Poly2,1.5,285,0.48312613526476
RUB,Poly2,1.5,286,0.48346380550742446
RUB,Poly2,1.5,287,0.48380209483111625
RUB,Poly2,1.5,288,0.4841410032358353
RUB,Poly2,1.5,289,0.4844805307215817
RUB,Poly2,1.5,290,0.4848206772883553
RUB,Poly2,1.5,291,0.4851614429361563
RUB,Poly2,1.5,292,0.48550282766498454
RUB,Poly2,1.5,293,0.48584483147484014
RUB,Poly2,1.5,294,0.48618745436572297
RUB,Poly2,1.5,295,0.48653069633763313
RUB,Poly2,1.5,296,0.48687455739057056
RUB,Poly2,1.5,297,0.4872190375245353
RUB,Poly2,1.5,298,0.48756413673952737
RUB,Poly2,1.5,299,0.4879098550355467
RUB,Poly2,1.5,300,0.4882561924125933
RUB,Poly2,1.5,301,0.48860314887066725
RUB,Poly2,1.5,302,0.4889507244097685
RUB,Poly2,1.5,303,0.489298919029897
RUB,Poly2,1.5,304,0.48964773273105283
RUB,Poly2,1.5,305,0.4899971655132359
RUB,Poly2,1.5,306,0.4903472173764464
RUB,Poly2,1.5,307,0.49069788832068406
RUB,Poly2,1.5,308,0.4910491783459491
RUB,Poly2,1.5,309,0.49140108745224137
RUB,Poly2,1.5,310,0.491753615639561
RUB,Poly2,1.5,311,0.4921067629079079
RUB,Poly2,1.5,312,0.49246052925728206
RUB,Poly2,1.5,313,0.49281491468768357
RUB,Poly2,1.5,314,0.49316991919911235
RUB,Poly2,1.5,315,0.49352554279156846
RUB,Poly2,1.5,316,0.4938817854650518
RUB,Poly2,1.5,317,0.4942386472195625
RUB,Poly2,1.5,318,0.49459612805510045
RUB,Poly2,1.5,319,0.49495422797166577
RUB,Poly2,1.5,320,0.4953129469692583
RUB,Poly2,1.5,321,0.4956722850478782
RUB,Poly2,1.5,322,0.49603224220752534
RUB,Poly2,1.5,323,0.4963928184481998
RUB,Poly2,1.5,324,0.4967540137699016
RUB,Poly2,1.5,325,0.4971158281726306
RUB,Poly2,1.5,326,0.497478261656387
RUB,Poly2,1.5,327,0.4978413142211706
RUB,Poly2,1.5,328,0.4982049858669816
RUB,Poly2,1.5,329,0.4985692765938198
RUB,Poly2,1.5,330,0.4989341864016853
RUB,Poly2,1.5,331,0.49929971529057815
RUB,Poly2,1.5,332,0.4996658632604983
RUB,Poly2,1.5,333,0.5000326303114457
RUB,Poly2,1.5,334,0.5004000164434205
RUB,Poly2,1.5,335,0.5007680216564224
RUB,Poly2,1.5,336,0.5011366459504518
RUB,Poly2,1.5,337,0.5015058893255084
RUB,Poly2,1.5,338,0.5018757517815923
RUB,Poly2,1.5,339,0.5022462333187035
RUB,Poly2,1.5,340,0.502617333936842
RUB,Poly2,1.5,341,0.5029890536360079
RUB,Poly2,1.5,342,0.5033613924162009
RUB,Poly2,1.5,343,0.5037343502774213
RUB,Poly2,1.5,344,0.504107927219669
RUB,Poly2,1.5,345,0.504482123242944
RUB,Poly2,1.5,346,0.5048569383472463
RUB,Poly2,1.5,347,0.5052323725325759
RUB,Poly2,1.5,348,0.5056084257989327
RUB,Poly2,1.5,349,0.505985098146317
RUB,Poly2,1.5,350,0.5063623895747285
RUB,Poly2,1.5,351,0.5067403000841672
RUB,Poly2,1.5,352,0.5071188296746333
RUB,Poly2,1.5,353,0.5074979783461266
RUB,Poly2,1.5,354,0.5078777460986472
RUB,Poly2,1.5,355,0.5082581329321952
RUB,Poly2,1.5,356,0.5086391388467705
RUB,Poly2,1.5,357,0.509020763842373
RUB,Poly2,1.5,358,0.5094030079190028
RUB,Poly2,1.5,359,0.5097858710766601
RUB,Poly2,1.5,360,0.5101693533153444
RUB,Poly2,1.5,361,0.5105534546350562
RUB,Poly2,1.5,362,0.5109381750357953
RUB,Poly2,1.5,363,0.5113235145175615
RUB,Poly2,1.5,364,0.5117094730803552
RUB,Poly2,1.5,365,0.5120960507241761
RUB,Poly2,1.5,366,0.5124832474490244
RUB,Poly2,1.5,367,0.5128710632548998
RUB,Poly2,1.5,368,0.5132594981418027
RUB,Poly2,1.5,369,0.5136485521097328
RUB,Poly2,1.5,370,0.5140382251586902
RUB,Poly2,1.5,371,0.5144285172886749
RUB,Poly2,1.5,372,0.514819428499687
RUB,Poly2,1.5,373,0.5152109587917262
RUB,Poly2,1.5,374,0.5156031081647928
RUB,Poly2,1.5,375,0.5159958766188867
RUB,Poly2,1.5,376,0.5163892641540079
RUB,Poly2,1.5,377,0.5167832707701564
RUB,Poly2,1.5,378,0.5171778964673321
RUB,Poly2,1.5,379,0.5175731412455352
RUB,Poly2,1.5,380,0.5179690051047656
RUB,Poly2,1.5,381,0.5183654880450232
RUB,Poly2,1.5,382,0.5187625900663083
RUB,Poly2,1.5,383,0.5191603111686205
RUB,Poly2,1.5,384,0.5195586513519601
RUB,Poly2,1.5,385,0.519957610616327
RUB,Poly2,1.5,386,0.5203571889617211
RUB,Poly2,1.5,387,0.5207573863881426
RUB,Poly2,1.5,388,0.5211582028955913
RUB,Poly2,1.5,389,0.5215596384840674
RUB,Poly2,1.5,390,0.5219616931535708
RUB,Poly2,1.5,391,0.5223643669041014
RUB,Poly2,1.5,392,0.5227676597356593
RUB,Poly2,1.5,393,0.5231715716482446
RUB,Poly2,1.5,394,0.523576102641857
RUB,Poly2,1.5,395,0.5239812527164969
RUB,Poly2,1.5,396,0.524387021872164
RUB,Poly2,1.5,397,0.5247934101088585
RUB,Poly2,1.5,398,0.5252004174265802
RUB,Poly2,1.5,399,0.5256080438253292
RUB,Poly2,1.5,400,0.5260162893051055
RUB,Poly2,1.5,401,0.5264251538659092
RUB,Poly2,1.5,402,0.5268346375077401
RUB,Poly2,1.5,403,0.5272447402305982
RUB,Poly2,1.5,404,0.5276554620344838
RUB,Poly2,1.5,405,0.5280668029193966
RUB,Poly2,1.5,406,0.5284787628853367
RUB,Poly2,1.5,407,0.528891341932304
RUB,Poly2,1.5,408,0.5293045400602987
RUB,Poly2,1.5,409,0.5297183572693207
RUB,Poly2,1.5,410,0.53013279355937
RUB,Poly2,1.5,411,0.5305478489304466
RUB,Poly2,1.5,412,0.5309635233825505
RUB,Poly2,1.5,413,0.5313798169156816
RUB,Poly2,1.5,414,0.53179672952984
RUB,Poly2,1.5,415,0.5322142612250258
RUB,Poly2,1.5,416,0.5326324120012389
RUB,Poly2,1.5,417,0.5330511818584793
RUB,Poly2,1.5,418,0.533470570796747
RUB,Poly2,1.5,419,0.5338905788160418
RUB,Poly2,1.5,420,0.5343112059163642
RUB,Poly2,1.5,421,0.5347324520977137
RUB,Poly2,1.5,422,0.5351543173600906
RUB,Poly2,1.5,423,0.5355768017034946
RUB,Poly2,1.5,424,0.5359999051279261
RUB,Poly2,1.5,425,0.5364236276333848
RUB,Poly2,1.5,426,0.5368479692198709
RUB,Poly2,1.5,427,0.5372729298873842
RUB,Poly2,1.5,428,0.5376985096359248
