currency,horizon,date,y_pred
USD,2.0,2024-09-13,41.1371031135095
USD,2.0,2024-09-14,41.1371031135095
USD,2.0,2024-09-15,41.1371031135095
USD,2.0,2024-09-16,41.1371031135095
USD,2.0,2024-09-17,41.1371031135095
USD,2.0,2024-09-18,41.1371031135095
USD,2.0,2024-09-19,41.1371031135095
USD,2.0,2024-09-20,41.1371031135095
USD,2.0,2024-09-21,41.1371031135095
USD,2.0,2024-09-22,41.1371031135095
USD,2.0,2024-09-23,41.1371031135095
USD,2.0,2024-09-24,41.1371031135095
USD,2.0,2024-09-25,41.1371031135095
USD,2.0,2024-09-26,41.1371031135095
USD,2.0,2024-09-27,41.1371031135095
USD,2.0,2024-09-28,41.1371031135095
USD,2.0,2024-09-29,41.1371031135095
USD,2.0,2024-09-30,41.1371031135095
USD,2.0,2024-10-01,41.1371031135095
USD,2.0,2024-10-02,41.1371031135095
USD,2.0,2024-10-03,41.1371031135095
USD,2.0,2024-10-04,41.1371031135095
USD,2.0,2024-10-05,41.1371031135095
USD,2.0,2024-10-06,41.1371031135095
USD,2.0,2024-10-07,41.1371031135095
USD,2.0,2024-10-08,41.1371031135095
USD,2.0,2024-10-09,41.1371031135095
USD,2.0,2024-10-10,41.1371031135095
USD,2.0,2024-10-11,41.1371031135095
USD,2.0,2024-10-12,41.1371031135095
USD,2.0,2024-10-13,41.1371031135095
USD,2.0,2024-10-14,41.1371031135095
USD,2.0,2024-10-15,41.1371031135095
USD,2.0,2024-10-16,41.1371031135095
USD,2.0,2024-10-17,41.1371031135095
USD,2.0,2024-10-18,41.1371031135095
USD,2.0,2024-10-19,41.1371031135095
USD,2.0,2024-10-20,41.1371031135095
USD,2.0,2024-10-21,41.1371031135095
USD,2.0,2024-10-22,41.1371031135095
USD,2.0,2024-10-23,41.1371031135095
USD,2.0,2024-10-24,41.1371031135095
USD,2.0,2024-10-25,41.1371031135095
USD,2.0,2024-10-26,41.1371031135095
USD,2.0,2024-10-27,41.1371031135095
USD,2.0,2024-10-28,41.1371031135095
USD,2.0,2024-10-29,41.1371031135095
USD,2.0,2024-10-30,41.1371031135095
USD,2.0,2024-10-31,41.1371031135095
USD,2.0,2024-11-01,41.1371031135095
USD,2.0,2024-11-02,41.1371031135095
USD,2.0,2024-11-03,41.1371031135095
USD,2.0,2024-11-04,41.1371031135095
USD,2.0,2024-11-05,41.1371031135095
USD,2.0,2024-11-06,41.1371031135095
USD,2.0,2024-11-07,41.1371031135095
USD,2.0,2024-11-08,41.1371031135095
USD,2.0,2024-11-09,41.1371031135095
USD,2.0,2024-11-10,41.1371031135095
USD,2.0,2024-11-11,41.1371031135095
USD,2.0,2024-11-12,41.1371031135095
USD,2.0,2024-11-13,41.1371031135095
USD,2.0,2024-11-14,41.1371031135095
USD,2.0,2024-11-15,41.1371031135095
USD,2.0,2024-11-16,41.1371031135095
USD,2.0,2024-11-17,41.1371031135095
USD,2.0,2024-11-18,41.1371031135095
USD,2.0,2024-11-19,41.1371031135095
USD,2.0,2024-11-20,41.1371031135095
USD,2.0,2024-11-21,41.1371031135095
USD,2.0,2024-11-22,41.1371031135095
USD,2.0,2024-11-23,41.1371031135095
USD,2.0,2024-11-24,41.1371031135095
USD,2.0,2024-11-25,41.1371031135095
USD,2.0,2024-11-26,41.1371031135095
USD,2.0,2024-11-27,41.1371031135095
USD,2.0,2024-11-28,41.1371031135095
USD,2.0,2024-11-29,41.1371031135095
USD,2.0,2024-11-30,41.1371031135095
USD,2.0,2024-12-01,41.1371031135095
USD,2.0,2024-12-02,41.1371031135095
USD,2.0,2024-12-03,41.1371031135095
USD,2.0,2024-12-04,41.1371031135095
USD,2.0,2024-12-05,41.1371031135095
USD,2.0,2024-12-06,41.1371031135095
USD,2.0,2024-12-07,41.1371031135095
USD,2.0,2024-12-08,41.1371031135095
USD,2.0,2024-12-09,41.1371031135095
USD,2.0,2024-12-10,41.1371031135095
USD,2.0,2024-12-11,41.1371031135095
USD,2.0,2024-12-12,41.1371031135095
USD,2.0,2024-12-13,41.1371031135095
USD,2.0,2024-12-14,41.1371031135095
USD,2.0,2024-12-15,41.1371031135095
USD,2.0,2024-12-16,41.1371031135095
USD,2.0,2024-12-17,41.1371031135095
USD,2.0,2024-12-18,41.1371031135095
USD,2.0,2024-12-19,41.1371031135095
USD,2.0,2024-12-20,41.1371031135095
USD,2.0,2024-12-21,41.1371031135095
USD,2.0,2024-12-22,41.1371031135095
USD,2.0,2024-12-23,41.1371031135095
USD,2.0,2024-12-24,41.1371031135095
USD,2.0,2024-12-25,41.1371031135095
USD,2.0,2024-12-26,41.1371031135095
USD,2.0,2024-12-27,41.1371031135095
USD,2.0,2024-12-28,41.1371031135095
USD,2.0,2024-12-29,41.1371031135095
USD,2.0,2024-12-30,41.1371031135095
USD,2.0,2024-12-31,41.1371031135095
USD,2.0,2025-01-01,41.1371031135095
USD,2.0,2025-01-02,41.1371031135095
USD,2.0,2025-01-03,41.1371031135095
USD,2.0,2025-01-04,41.1371031135095
USD,2.0,2025-01-05,41.1371031135095
USD,2.0,2025-01-06,41.1371031135095
USD,2.0,2025-01-07,41.1371031135095
USD,2.0,2025-01-08,41.1371031135095
USD,2.0,2025-01-09,41.1371031135095
USD,2.0,2025-01-10,41.1371031135095
USD,2.0,2025-01-11,41.1371031135095
USD,2.0,2025-01-12,41.1371031135095
USD,2.0,2025-01-13,41.1371031135095
USD,2.0,2025-01-14,41.1371031135095
USD,2.0,2025-01-15,41.1371031135095
USD,2.0,2025-01-16,41.1371031135095
USD,2.0,2025-01-17,41.1371031135095
USD,2.0,2025-01-18,41.1371031135095
USD,2.0,2025-01-19,41.1371031135095
USD,2.0,2025-01-20,41.1371031135095
USD,2.0,2025-01-21,41.1371031135095
USD,2.0,2025-01-22,41.1371031135095
USD,2.0,2025-01-23,41.1371031135095
USD,2.0,2025-01-24,41.1371031135095
USD,2.0,2025-01-25,41.1371031135095
USD,2.0,2025-01-26,41.1371031135095
USD,2.0,2025-01-27,41.1371031135095
USD,2.0,2025-01-28,41.1371031135095
USD,2.0,2025-01-29,41.1371031135095
USD,2.0,2025-01-30,41.1371031135095
USD,2.0,2025-01-31,41.1371031135095
USD,2.0,2025-02-01,41.1371031135095
USD,2.0,2025-02-02,41.1371031135095
USD,2.0,2025-02-03,41.1371031135095
USD,2.0,2025-02-04,41.1371031135095
USD,2.0,2025-02-05,41.1371031135095
USD,2.0,2025-02-06,41.1371031135095
USD,2.0,2025-02-07,41.1371031135095
USD,2.0,2025-02-08,41.1371031135095
USD,2.0,2025-02-09,41.1371031135095
USD,2.0,2025-02-10,41.1371031135095
USD,2.0,2025-02-11,41.1371031135095
USD,2.0,2025-02-12,41.1371031135095
USD,2.0,2025-02-13,41.1371031135095
USD,2.0,2025-02-14,41.1371031135095
USD,2.0,2025-02-15,41.1371031135095
USD,2.0,2025-02-16,41.1371031135095
USD,2.0,2025-02-17,41.1371031135095
USD,2.0,2025-02-18,41.1371031135095
USD,2.0,2025-02-19,41.1371031135095
USD,2.0,2025-02-20,41.1371031135095
USD,2.0,2025-02-21,41.1371031135095
USD,2.0,2025-02-22,41.1371031135095
USD,2.0,2025-02-23,41.1371031135095
USD,2.0,2025-02-24,41.1371031135095
USD,2.0,2025-02-25,41.1371031135095
USD,2.0,2025-02-26,41.1371031135095
USD,2.0,2025-02-27,41.1371031135095
USD,2.0,2025-02-28,41.1371031135095
USD,2.0,2025-03-01,41.1371031135095
USD,2.0,2025-03-02,41.1371031135095
USD,2.0,2025-03-03,41.1371031135095
USD,2.0,2025-03-04,41.1371031135095
USD,2.0,2025-03-05,41.1371031135095
USD,2.0,2025-03-06,41.1371031135095
USD,2.0,2025-03-07,41.1371031135095
USD,2.0,2025-03-08,41.1371031135095
USD,2.0,2025-03-09,41.1371031135095
USD,2.0,2025-03-10,41.1371031135095
USD,2.0,2025-03-11,41.1371031135095
USD,2.0,2025-03-12,41.1371031135095
USD,2.0,2025-03-13,41.1371031135095
USD,2.0,2025-03-14,41.1371031135095
USD,2.0,2025-03-15,41.1371031135095
USD,2.0,2025-03-16,41.1371031135095
USD,2.0,2025-03-17,41.1371031135095
USD,2.0,2025-03-18,41.1371031135095
USD,2.0,2025-03-19,41.1371031135095
USD,2.0,2025-03-20,41.1371031135095
USD,2.0,2025-03-21,41.1371031135095
USD,2.0,2025-03-22,41.1371031135095
USD,2.0,2025-03-23,41.1371031135095
USD,2.0,2025-03-24,41.1371031135095
USD,2.0,2025-03-25,41.1371031135095
USD,2.0,2025-03-26,41.1371031135095
USD,2.0,2025-03-27,41.1371031135095
USD,2.0,2025-03-28,41.1371031135095
USD,2.0,2025-03-29,41.1371031135095
USD,2.0,2025-03-30,41.1371031135095
USD,2.0,2025-03-31,41.1371031135095
USD,2.0,2025-04-01,41.1371031135095
USD,2.0,2025-04-02,41.1371031135095
USD,2.0,2025-04-03,41.1371031135095
USD,2.0,2025-04-04,41.1371031135095
USD,2.0,2025-04-05,41.1371031135095
USD,2.0,2025-04-06,41.1371031135095
USD,2.0,2025-04-07,41.1371031135095
USD,2.0,2025-04-08,41.1371031135095
USD,2.0,2025-04-09,41.1371031135095
USD,2.0,2025-04-10,41.1371031135095
USD,2.0,2025-04-11,41.1371031135095
USD,2.0,2025-04-12,41.1371031135095
USD,2.0,2025-04-13,41.1371031135095
USD,2.0,2025-04-14,41.1371031135095
USD,2.0,2025-04-15,41.1371031135095
USD,2.0,2025-04-16,41.1371031135095
USD,2.0,2025-04-17,41.1371031135095
USD,2.0,2025-04-18,41.1371031135095
USD,2.0,2025-04-19,41.1371031135095
USD,2.0,2025-04-20,41.1371031135095
USD,2.0,2025-04-21,41.1371031135095
USD,2.0,2025-04-22,41.1371031135095
USD,2.0,2025-04-23,41.1371031135095
USD,2.0,2025-04-24,41.1371031135095
USD,2.0,2025-04-25,41.1371031135095
USD,2.0,2025-04-26,41.1371031135095
USD,2.0,2025-04-27,41.1371031135095
USD,2.0,2025-04-28,41.1371031135095
USD,2.0,2025-04-29,41.1371031135095
USD,2.0,2025-04-30,41.1371031135095
USD,2.0,2025-05-01,41.1371031135095
USD,2.0,2025-05-02,41.1371031135095
USD,2.0,2025-05-03,41.1371031135095
USD,2.0,2025-05-04,41.1371031135095
USD,2.0,2025-05-05,41.1371031135095
USD,2.0,2025-05-06,41.1371031135095
USD,2.0,2025-05-07,41.1371031135095
USD,2.0,2025-05-08,41.1371031135095
USD,2.0,2025-05-09,41.1371031135095
USD,2.0,2025-05-10,41.1371031135095
USD,2.0,2025-05-11,41.1371031135095
USD,2.0,2025-05-12,41.1371031135095
USD,2.0,2025-05-13,41.1371031135095
USD,2.0,2025-05-14,41.1371031135095
USD,2.0,2025-05-15,41.1371031135095
USD,2.0,2025-05-16,41.1371031135095
USD,2.0,2025-05-17,41.1371031135095
USD,2.0,2025-05-18,41.1371031135095
USD,2.0,2025-05-19,41.1371031135095
USD,2.0,2025-05-20,41.1371031135095
USD,2.0,2025-05-21,41.1371031135095
USD,2.0,2025-05-22,41.1371031135095
USD,2.0,2025-05-23,41.1371031135095
USD,2.0,2025-05-24,41.1371031135095
USD,2.0,2025-05-25,41.1371031135095
USD,2.0,2025-05-26,41.1371031135095
USD,2.0,2025-05-27,41.1371031135095
USD,2.0,2025-05-28,41.1371031135095
USD,2.0,2025-05-29,41.1371031135095
USD,2.0,2025-05-30,41.1371031135095
USD,2.0,2025-05-31,41.1371031135095
USD,2.0,2025-06-01,41.1371031135095
USD,2.0,2025-06-02,41.1371031135095
USD,2.0,2025-06-03,41.1371031135095
USD,2.0,2025-06-04,41.1371031135095
USD,2.0,2025-06-05,41.1371031135095
USD,2.0,2025-06-06,41.1371031135095
USD,2.0,2025-06-07,41.1371031135095
USD,2.0,2025-06-08,41.1371031135095
USD,2.0,2025-06-09,41.1371031135095
USD,2.0,2025-06-10,41.1371031135095
USD,2.0,2025-06-11,41.1371031135095
