currency,model,horizon,date,y_pred
USD,MLP,2.0,2024-09-13,40.05958749002676
USD,MLP,2.0,2024-09-14,40.04082110628498
USD,MLP,2.0,2024-09-15,40.04377642959305
USD,MLP,2.0,2024-09-16,40.05125842132953
USD,MLP,2.0,2024-09-17,40.044422202653976
USD,MLP,2.0,2024-09-18,40.03574138952778
USD,MLP,2.0,2024-09-19,40.038708379116905
USD,MLP,2.0,2024-09-20,40.02036592744111
USD,MLP,2.0,2024-09-21,40.0257413279082
USD,MLP,2.0,2024-09-22,40.06339965929218
USD,MLP,2.0,2024-09-23,40.033707561135905
USD,MLP,2.0,2024-09-24,40.06811658094761
USD,MLP,2.0,2024-09-25,40.0925483872888
USD,MLP,2.0,2024-09-26,40.13830470215928
USD,MLP,2.0,2024-09-27,40.123471681773914
USD,MLP,2.0,2024-09-28,40.12024203939003
USD,MLP,2.0,2024-09-29,40.0773664280334
USD,MLP,2.0,2024-09-30,40.039310746749784
USD,MLP,2.0,2024-10-01,39.965850072231184
USD,MLP,2.0,2024-10-02,39.973912663288914
USD,MLP,2.0,2024-10-03,39.956570554845825
USD,MLP,2.0,2024-10-04,39.95793100872463
USD,MLP,2.0,2024-10-05,39.95392378246939
USD,MLP,2.0,2024-10-06,39.952822651045594
USD,MLP,2.0,2024-10-07,39.94658084755528
USD,MLP,2.0,2024-10-08,39.94418681768987
USD,MLP,2.0,2024-10-09,39.942279986253695
USD,MLP,2.0,2024-10-10,39.94674589111962
USD,MLP,2.0,2024-10-11,39.94698900592119
USD,MLP,2.0,2024-10-12,39.958951667029794
USD,MLP,2.0,2024-10-13,39.961763442602816
USD,MLP,2.0,2024-10-14,39.967336796446105
USD,MLP,2.0,2024-10-15,39.964359008482646
USD,MLP,2.0,2024-10-16,39.96451303165
USD,MLP,2.0,2024-10-17,39.95882442786756
USD,MLP,2.0,2024-10-18,39.95798649420321
USD,MLP,2.0,2024-10-19,39.95496981190827
USD,MLP,2.0,2024-10-20,39.95768397825087
USD,MLP,2.0,2024-10-21,39.95493241118371
USD,MLP,2.0,2024-10-22,39.95589825007825
USD,MLP,2.0,2024-10-23,39.95433993365069
USD,MLP,2.0,2024-10-24,39.95385130216616
USD,MLP,2.0,2024-10-25,39.95238562973521
USD,MLP,2.0,2024-10-26,39.95245013740693
USD,MLP,2.0,2024-10-27,39.952073667728314
USD,MLP,2.0,2024-10-28,39.95298995520419
USD,MLP,2.0,2024-10-29,39.95316236588372
USD,MLP,2.0,2024-10-30,39.954524858334125
USD,MLP,2.0,2024-10-31,39.95421935516795
USD,MLP,2.0,2024-11-01,39.95476542996716
USD,MLP,2.0,2024-11-02,39.954258410970446
USD,MLP,2.0,2024-11-03,39.954487679632216
USD,MLP,2.0,2024-11-04,39.95400916027019
USD,MLP,2.0,2024-11-05,39.954386840981435
USD,MLP,2.0,2024-11-06,39.954167139477484
USD,MLP,2.0,2024-11-07,39.95447924277152
USD,MLP,2.0,2024-11-08,39.95412610565502
USD,MLP,2.0,2024-11-09,39.95430483388814
USD,MLP,2.0,2024-11-10,39.953966309898775
USD,MLP,2.0,2024-11-11,39.95397109347768
USD,MLP,2.0,2024-11-12,39.9537866532073
USD,MLP,2.0,2024-11-13,39.95387816690679
USD,MLP,2.0,2024-11-14,39.953807402233124
USD,MLP,2.0,2024-11-15,39.95395595556974
USD,MLP,2.0,2024-11-16,39.95391805024825
USD,MLP,2.0,2024-11-17,39.95403574243654
USD,MLP,2.0,2024-11-18,39.95393762860919
USD,MLP,2.0,2024-11-19,39.954023329352026
USD,MLP,2.0,2024-11-20,39.953943744324
USD,MLP,2.0,2024-11-21,39.95401023001568
USD,MLP,2.0,2024-11-22,39.953967258541006
USD,MLP,2.0,2024-11-23,39.95404052601545
USD,MLP,2.0,2024-11-24,39.95399906833156
USD,MLP,2.0,2024-11-25,39.95404298844848
USD,MLP,2.0,2024-11-26,39.95399365905246
USD,MLP,2.0,2024-11-27,39.95401961551861
USD,MLP,2.0,2024-11-28,39.95397038704198
USD,MLP,2.0,2024-11-29,39.953990974596785
USD,MLP,2.0,2024-11-30,39.95396594658898
USD,MLP,2.0,2024-12-01,39.95398683690194
USD,MLP,2.0,2024-12-02,39.953971820097266
USD,MLP,2.0,2024-12-03,39.95399192323901
USD,MLP,2.0,2024-12-04,39.95397601834373
USD,MLP,2.0,2024-12-05,39.9539898039319
USD,MLP,2.0,2024-12-06,39.953973959588254
USD,MLP,2.0,2024-12-07,39.95398800756683
USD,MLP,2.0,2024-12-08,39.95397593760823
USD,MLP,2.0,2024-12-09,39.95398933970272
USD,MLP,2.0,2024-12-10,39.95398215424242
USD,MLP,2.0,2024-12-11,39.95399244801982
USD,MLP,2.0,2024-12-12,39.9539846570432
USD,MLP,2.0,2024-12-13,39.95399164066473
USD,MLP,2.0,2024-12-14,39.95398393042362
USD,MLP,2.0,2024-12-15,39.953988814921914
USD,MLP,2.0,2024-12-16,39.9539826184716
USD,MLP,2.0,2024-12-17,39.953987502969895
USD,MLP,2.0,2024-12-18,39.9539833249073
USD,MLP,2.0,2024-12-19,39.95398715984398
USD,MLP,2.0,2024-12-20,39.95398397079137
USD,MLP,2.0,2024-12-21,39.95398679653419
USD,MLP,2.0,2024-12-22,39.95398366803322
USD,MLP,2.0,2024-12-23,39.95398604973073
USD,MLP,2.0,2024-12-24,39.95398356711383
USD,MLP,2.0,2024-12-25,39.95398590844359
USD,MLP,2.0,2024-12-26,39.95398405152688
USD,MLP,2.0,2024-12-27,39.95398619101787
USD,MLP,2.0,2024-12-28,39.95398469741095
USD,MLP,2.0,2024-12-29,39.95398623138563
USD,MLP,2.0,2024-12-30,39.95398487906585
USD,MLP,2.0,2024-12-31,39.953986029546854
USD,MLP,2.0,2025-01-01,39.9539848386981
USD,MLP,2.0,2025-01-02,39.953985807524205
USD,MLP,2.0,2025-01-03,39.953984939617484
USD,MLP,2.0,2025-01-04,39.95398578734033
USD,MLP,2.0,2025-01-05,39.95398506072075
USD,MLP,2.0,2025-01-06,39.95398570660482
USD,MLP,2.0,2025-01-07,39.9539851010885
USD,MLP,2.0,2025-01-08,39.95398556531767
