currency,model,horizon,step,y_pred
USD,TorchNN,0.5,256,41.736004
USD,TorchNN,0.5,257,41.752514
USD,TorchNN,0.5,258,41.76902
USD,TorchNN,0.5,259,41.78554
USD,TorchNN,0.5,260,41.802067
USD,TorchNN,0.5,261,41.818577
USD,TorchNN,0.5,262,41.849453
USD,TorchNN,0.5,263,41.88886
USD,TorchNN,0.5,264,41.941536
USD,TorchNN,0.5,265,42.006004
USD,TorchNN,0.5,266,42.07454
USD,TorchNN,0.5,267,42.16392
USD,TorchNN,0.5,268,42.259052
USD,TorchNN,0.5,269,42.357418
USD,TorchNN,0.5,270,42.464176
USD,TorchNN,0.5,271,42.5796
USD,TorchNN,0.5,272,42.700684
USD,TorchNN,0.5,273,42.82176
USD,TorchNN,0.5,274,42.94284
USD,TorchNN,0.5,275,43.06392
USD,TorchNN,0.5,276,43.185
USD,TorchNN,0.5,277,43.306076
USD,TorchNN,0.5,278,43.42716
USD,TorchNN,0.5,279,43.549915
USD,TorchNN,0.5,280,43.673283
USD,TorchNN,0.5,281,43.79666
USD,TorchNN,0.5,282,43.920033
USD,TorchNN,0.5,283,44.043404
USD,TorchNN,0.5,284,44.166775
USD,TorchNN,0.5,285,44.290154
USD,TorchNN,0.5,286,44.413517
USD,TorchNN,0.5,287,44.5369
USD,TorchNN,0.5,288,44.66027
USD,TorchNN,0.5,289,44.78364
USD,TorchNN,0.5,290,44.90701
USD,TorchNN,0.5,291,45.030384
USD,TorchNN,0.5,292,45.153755
USD,TorchNN,0.5,293,45.277134
USD,TorchNN,0.5,294,45.4005
USD,TorchNN,0.5,295,45.52388
USD,TorchNN,0.5,296,45.647255
USD,TorchNN,0.5,297,45.770626
USD,TorchNN,0.5,298,45.893993
USD,TorchNN,0.5,299,46.01737
USD,TorchNN,0.5,300,46.140743
USD,TorchNN,0.5,301,46.26412
USD,TorchNN,0.5,302,46.38749
USD,TorchNN,0.5,303,46.51086
USD,TorchNN,0.5,304,46.634228
USD,TorchNN,0.5,305,46.757607
USD,TorchNN,0.5,306,46.880978
USD,TorchNN,0.5,307,47.00435
USD,TorchNN,0.5,308,47.12772
USD,TorchNN,0.5,309,47.251095
USD,TorchNN,0.5,310,47.37447
USD,TorchNN,0.5,311,47.497845
USD,TorchNN,0.5,312,47.621212
USD,TorchNN,0.5,313,47.74459
USD,TorchNN,0.5,314,47.86796
USD,TorchNN,0.5,315,47.991337
USD,TorchNN,0.5,316,48.11471
USD,TorchNN,0.5,317,48.238083
USD,TorchNN,0.5,318,48.361458
USD,TorchNN,0.5,319,48.484833
USD,TorchNN,0.5,320,48.608204
USD,TorchNN,0.5,321,48.73157
USD,TorchNN,0.5,322,48.854946
USD,TorchNN,0.5,323,48.97832
USD,TorchNN,0.5,324,49.101696
USD,TorchNN,0.5,325,49.225063
USD,TorchNN,0.5,326,49.34844
USD,TorchNN,0.5,327,49.471813
USD,TorchNN,0.5,328,49.59519
USD,TorchNN,0.5,329,49.71856
USD,TorchNN,0.5,330,49.841934
USD,TorchNN,0.5,331,49.965305
USD,TorchNN,0.5,332,50.08868
USD,TorchNN,0.5,333,50.212055
USD,TorchNN,0.5,334,50.335423
USD,TorchNN,0.5,335,50.45879
USD,TorchNN,0.5,336,50.58269
USD,TorchNN,0.5,337,50.706867
USD,TorchNN,0.5,338,50.83105
USD,TorchNN,0.5,339,50.95525
USD,TorchNN,0.5,340,51.079422
USD,TorchNN,0.5,341,51.20361
USD,TorchNN,0.5,342,51.327793
USD,TorchNN,0.5,343,51.45198
USD,TorchNN,0.5,344,51.576153
USD,TorchNN,0.5,345,51.700344
USD,TorchNN,0.5,346,51.824535
USD,TorchNN,0.5,347,51.948704
USD,TorchNN,0.5,348,52.072895
USD,TorchNN,0.5,349,52.19708
USD,TorchNN,0.5,350,52.321266
USD,TorchNN,0.5,351,52.445442
USD,TorchNN,0.5,352,52.56963
USD,TorchNN,0.5,353,52.693817
USD,TorchNN,0.5,354,52.817997
USD,TorchNN,0.5,355,52.94219
USD,TorchNN,0.5,356,53.066372
USD,TorchNN,0.5,357,53.190556
USD,TorchNN,0.5,358,53.314735
USD,TorchNN,0.5,359,53.438908
USD,TorchNN,0.5,360,53.5631
USD,TorchNN,0.5,361,53.687286
USD,TorchNN,0.5,362,53.811474
USD,TorchNN,0.5,363,53.93565
USD,TorchNN,0.5,364,54.059837
USD,TorchNN,0.5,365,54.184017
USD,TorchNN,0.5,366,54.30821
USD,TorchNN,0.5,367,54.432384
USD,TorchNN,0.5,368,54.556576
USD,TorchNN,0.5,369,54.68075
USD,TorchNN,0.5,370,54.804943
USD,TorchNN,0.5,371,54.929134
USD,TorchNN,0.5,372,55.05331
USD,TorchNN,0.5,373,55.177486
USD,TorchNN,0.5,374,55.30168
USD,TorchNN,0.5,375,55.425854
USD,TorchNN,0.5,376,55.550045
USD,TorchNN,0.5,377,55.67423
USD,TorchNN,0.5,378,55.798412
USD,TorchNN,0.5,379,55.92259
USD,TorchNN,0.5,380,56.046772
USD,TorchNN,0.5,381,56.170956
USD,TorchNN,0.5,382,56.295143
USD,TorchNN,0.5,383,56.419334
