dataset,series,family,model,subset,metric,value
synthetic,trend,exp_smoothing,SES,train,mse,71.88612577156941
synthetic,trend,exp_smoothing,SES,train,mae,6.778749477591169
synthetic,trend,exp_smoothing,SES,train,r2,0.9999161355779542
synthetic,trend,exp_smoothing,SES,h_2.0,mse,994993134.3521178
synthetic,trend,exp_smoothing,SES,h_2.0,mae,24382.89278847953
synthetic,trend,exp_smoothing,SES,h_2.0,r2,-1.4845779070351233
synthetic,trend,exp_smoothing,Holt,train,mse,1.4468730092379314
synthetic,trend,exp_smoothing,Holt,train,mae,0.9461197101825195
synthetic,trend,exp_smoothing,Holt,train,r2,0.9999983120363298
synthetic,trend,exp_smoothing,Holt,h_2.0,mse,478057178.65225565
synthetic,trend,exp_smoothing,Holt,h_2.0,mae,15721.459264440664
synthetic,trend,exp_smoothing,Holt,h_2.0,r2,-0.1937472364091688
synthetic,trend,exp_smoothing,HW_add,train,mse,1.561536518749046
synthetic,trend,exp_smoothing,HW_add,train,mae,0.979101591520554
synthetic,trend,exp_smoothing,HW_add,train,r2,0.9999981782665814
synthetic,trend,exp_smoothing,HW_add,h_2.0,mse,479279021.6591332
synthetic,trend,exp_smoothing,HW_add,h_2.0,mae,15746.805727697341
synthetic,trend,exp_smoothing,HW_add,h_2.0,r2,-0.19679827669873817
