step,x,y_pred,y_true_trend
500,50.0,3267.8726654344164,3252.0
501,50.1,3285.1331785848874,3269.53202
502,50.2,3302.4673672365066,3287.1281600000007
503,50.3,3319.853680234041,3304.7885399999996
504,50.4,3337.2531190117825,3322.5132799999997
505,50.5,3354.659408140593,3340.3025000000002
506,50.6,3372.067785883575,3358.1563200000005
507,50.7,3389.4771012108918,3376.0748600000006
508,50.8,3406.8867332481127,3394.05824
509,50.9,3424.2964967731323,3412.1065799999997
510,51.0,3441.706307227135,3430.2200000000003
511,51.1,3459.116136378883,3448.3986200000004
512,51.2,3476.525972403828,3466.6425600000007
513,51.3,3493.935811108113,3484.95194
514,51.4,3511.3456508129793,3503.3268799999996
515,51.5,3528.7554909033956,3521.7675
516,51.6,3546.1653311390123,3540.2739200000005
517,51.7,3563.5751714302337,3558.8462600000007
518,51.8,3580.9850117424908,3577.4846399999997
519,51.9,3598.3948520627764,3596.1891800000003
520,52.0,3615.8046923861066,3614.96
521,52.1,3633.2145327105973,3633.79722
522,52.2,3650.6243730355286,3652.70096
523,52.3,3668.0342133606277,3671.67134
524,52.4,3685.44405368579,3690.70848
525,52.5,3702.853894010977,3709.8125
526,52.6,3720.263734336173,3728.9835199999998
527,52.7,3737.6735746613726,3748.2216600000006
528,52.8,3755.0834149865736,3767.52704
529,52.9,3772.493255311775,3786.8997799999997
530,53.0,3789.9030956369766,3806.34
531,53.1,3807.312935962178,3825.8478200000004
532,53.2,3824.7227762873795,3845.4233600000007
533,53.3,3842.1326166125814,3865.0667399999993
534,53.4,3859.5424569377833,3884.7780799999996
535,53.5,3876.952297262985,3904.5575
536,53.6,3894.362137588187,3924.4051200000004
537,53.7,3911.771977913389,3944.3210600000007
538,53.8,3929.181818238591,3964.3054399999996
539,53.9,3946.591658563793,3984.3583799999997
540,54.0,3964.001498888995,4004.4800000000005
541,54.1,3981.4113392141967,4024.6704200000004
542,54.2,3998.8211795393986,4044.929760000001
543,54.3,4016.2310198646005,4065.2581399999995
544,54.4,4033.6408601898024,4085.6556799999994
545,54.5,4051.0507005150043,4106.1225
546,54.6,4068.4605408402062,4126.65872
547,54.7,4085.870381165408,4147.26446
548,54.8,4103.28022149061,4167.939839999999
549,54.9,4120.6900618158115,4188.68498
550,55.0,4138.099902141013,4209.5
551,55.1,4155.509742466215,4230.385020000001
552,55.2,4172.919582791417,4251.340160000001
553,55.3,4190.329423116619,4272.36554
554,55.4,4207.739263441821,4293.4612799999995
555,55.5,4225.149103767023,4314.6275000000005
556,55.6,4242.558944092225,4335.864320000001
557,55.7,4259.968784417427,4357.17186
558,55.8,4277.378624742629,4378.55024
559,55.9,4294.788465067831,4399.99958
560,56.0,4312.198305393033,4421.52
561,56.1,4329.6081457182345,4443.11162
