x,y_pred
50.0,-2.6371872
50.1,-2.6422782
50.2,-2.6473706
50.3,-2.6524637
50.4,-2.6575558
50.5,-2.6626487
50.6,-2.6677408
50.7,-2.6728327
50.8,-2.6779246
50.9,-2.6830175
51.0,-2.6881094
51.1,-2.6932023
51.2,-2.698294
51.3,-2.7033863
51.4,-2.7084792
51.5,-2.7135723
51.6,-2.718664
51.7,-2.723757
51.8,-2.728848
51.9,-2.73394
52.0,-2.7390337
52.1,-2.744126
52.2,-2.749218
52.3,-2.754311
52.4,-2.7594032
52.5,-2.7644951
52.6,-2.769587
52.7,-2.7746797
52.8,-2.7797725
52.9,-2.7848654
53.0,-2.7899575
53.1,-2.7950494
53.2,-2.8001416
53.3,-2.8052342
53.4,-2.810326
53.5,-2.8154187
53.6,-2.8205106
53.7,-2.8256035
53.8,-2.8306956
53.9,-2.8357882
54.0,-2.8408816
54.1,-2.8459728
54.2,-2.8510647
54.3,-2.856157
54.4,-2.861251
54.5,-2.866342
54.6,-2.871434
54.7,-2.8765266
54.8,-2.8816195
54.9,-2.8867111
55.0,-2.8918035
55.1,-2.896897
55.2,-2.9019892
55.3,-2.9070807
55.4,-2.9121735
55.5,-2.9172666
55.6,-2.9223588
55.7,-2.9274504
55.8,-2.9325435
55.9,-2.9376357
56.0,-2.942728
56.1,-2.9478202
56.2,-2.9529119
56.3,-2.9580038
56.4,-2.9630973
56.5,-2.9681888
56.6,-2.9732816
56.7,-2.9783742
56.8,-2.983466
56.9,-2.9885585
57.0,-2.9936512
57.1,-2.9987442
57.2,-3.0038364
57.3,-3.0089288
57.4,-3.0140207
57.5,-3.019113
57.6,-3.024206
57.7,-3.0292974
57.8,-3.03439
57.9,-3.0394816
58.0,-3.0445738
58.1,-3.0496678
58.2,-3.0547588
58.3,-3.059853
58.4,-3.0649445
58.5,-3.0700371
58.6,-3.075129
58.7,-3.0802212
58.8,-3.0853145
58.9,-3.0904062
59.0,-3.0954978
59.1,-3.1005907
59.2,-3.105683
59.3,-3.1107752
59.4,-3.1158679
59.5,-3.1209614
59.6,-3.1260524
59.7,-3.1311448
59.8,-3.136237
59.9,-3.14133
60.0,-3.1464217
60.1,-3.1515148
60.2,-3.1566064
60.3,-3.1616986
60.4,-3.1667917
60.5,-3.171883
60.6,-3.1769755
60.7,-3.1820683
60.8,-3.1871612
60.9,-3.1922534
61.0,-3.197345
61.1,-3.2024374
61.2,-3.2075303
61.3,-3.212622
61.4,-3.2177148
61.5,-3.2228074
61.6,-3.2278986
61.7,-3.2329915
61.8,-3.238084
61.9,-3.2431762
62.0,-3.2482686
62.1,-3.2533615
62.2,-3.2584543
62.3,-3.2635455
62.4,-3.2686388
62.5,-3.273731
62.6,-3.2788227
62.7,-3.2839172
62.8,-3.2890089
62.9,-3.2941005
63.0,-3.2991924
63.1,-3.3042843
63.2,-3.3093789
63.3,-3.31447
63.4,-3.3195612
63.5,-3.324655
63.6,-3.329747
63.7,-3.3348386
63.8,-3.3399317
63.9,-3.3450243
64.0,-3.350117
64.1,-3.3552086
64.2,-3.3603013
64.3,-3.365393
64.4,-3.3704853
64.5,-3.3755786
64.6,-3.380671
64.7,-3.3857622
64.8,-3.390855
64.9,-3.395947
65.0,-3.401039
65.1,-3.406133
65.2,-3.4112232
65.3,-3.4163172
65.4,-3.4214094
65.5,-3.4265025
65.6,-3.4315941
65.7,-3.4366863
65.8,-3.4417787
65.9,-3.446872
66.0,-3.4519627
66.1,-3.4570553
66.2,-3.462148
66.3,-3.467241
66.4,-3.4723327
66.5,-3.4774253
66.6,-3.4825175
66.7,-3.4876096
66.8,-3.4927018
66.9,-3.4977958
67.0,-3.502887
67.1,-3.5079787
67.2,-3.5130718
67.3,-3.518164
67.4,-3.523255
67.5,-3.5283496
67.6,-3.5334423
67.7,-3.5385334
67.8,-3.5436256
67.9,-3.5487182
68.0,-3.5538104
68.1,-3.558903
68.2,-3.5639951
68.3,-3.5690877
68.4,-3.5741808
68.5,-3.579273
68.6,-3.5843647
68.7,-3.5894573
68.8,-3.59455
68.9,-3.5996416
69.0,-3.6047337
69.1,-3.6098268
69.2,-3.6149194
69.3,-3.6200101
69.4,-3.6251042
69.5,-3.6301959
69.6,-3.6352875
69.7,-3.6403806
69.8,-3.6454728
69.9,-3.6505644
70.0,-3.6556566
70.1,-3.6607502
70.2,-3.6658418
70.3,-3.6709354
70.4,-3.676028
70.5,-3.6811197
70.6,-3.6862118
70.7,-3.6913044
70.8,-3.6963966
70.9,-3.7014902
71.0,-3.7065809
71.1,-3.711674
71.2,-3.7167666
71.3,-3.7218592
71.4,-3.7269518
71.5,-3.732044
71.6,-3.7371342
71.7,-3.7422283
71.8,-3.7473218
71.9,-3.752414
72.0,-3.7575052
72.1,-3.7625983
72.2,-3.7676904
72.3,-3.7727835
72.4,-3.7778761
72.5,-3.7829669
72.6,-3.7880595
72.7,-3.793152
72.8,-3.7982442
72.9,-3.8033373
73.0,-3.8084295
73.1,-3.8135216
73.2,-3.8186138
73.3,-3.8237054
73.4,-3.828799
73.5,-3.8338907
73.6,-3.8389828
73.7,-3.8440764
73.8,-3.8491676
73.9,-3.8542593
74.0,-3.8593519
74.1,-3.864445
74.2,-3.869537
74.3,-3.8746307
74.4,-3.8797214
74.5,-3.8848145
74.6,-3.8899066
74.7,-3.8949997
74.8,-3.9000914
74.9,-3.9051836
