x,y_pred
50.0,2141.644
50.1,2145.9417
50.2,2150.224
50.3,2154.5044
50.4,2158.7844
50.5,2163.064
50.6,2167.3438
50.7,2171.6238
50.8,2175.9036
50.9,2180.1833
51.0,2184.4631
51.1,2188.743
51.2,2193.0227
51.3,2197.3025
51.4,2201.5825
51.5,2205.8623
51.6,2210.142
51.7,2214.422
51.8,2218.702
51.9,2222.9817
52.0,2227.2615
52.1,2231.5413
52.2,2235.821
52.3,2240.1008
52.4,2244.3806
52.5,2248.6604
52.6,2252.9402
52.7,2257.2205
52.8,2261.4998
52.9,2265.7798
53.0,2270.0596
53.1,2274.339
53.2,2278.6194
53.3,2282.899
53.4,2287.179
53.5,2291.4587
53.6,2295.7383
53.7,2300.0183
53.8,2304.298
53.9,2308.5781
54.0,2312.8577
54.1,2317.1375
54.2,2321.4175
54.3,2325.6973
54.4,2329.9773
54.5,2334.257
54.6,2338.5369
54.7,2342.8167
54.8,2347.0964
54.9,2351.3762
55.0,2355.656
55.1,2359.9358
55.2,2364.2156
55.3,2368.4954
55.4,2372.7751
55.5,2377.055
55.6,2381.3347
55.7,2385.6147
55.8,2389.8943
55.9,2394.1746
56.0,2398.4543
56.1,2402.7341
56.2,2407.014
56.3,2411.2935
56.4,2415.5735
56.5,2419.8533
56.6,2424.133
56.7,2428.413
56.8,2432.6926
56.9,2436.9727
57.0,2441.2522
57.1,2445.532
57.2,2449.812
57.3,2454.0918
57.4,2458.3718
57.5,2462.6516
57.6,2466.9312
57.7,2471.2112
57.8,2475.491
57.9,2479.7708
58.0,2484.0505
58.1,2488.3303
58.2,2492.6104
58.3,2496.8901
58.4,2501.17
58.5,2505.4497
58.6,2509.7295
58.7,2514.0095
58.8,2518.289
58.9,2522.569
59.0,2526.8486
59.1,2531.1287
59.2,2535.4084
59.3,2539.6882
59.4,2543.968
59.5,2548.2478
59.6,2552.5278
59.7,2556.8076
59.8,2561.0872
59.9,2565.3672
60.0,2569.6472
60.1,2573.9265
60.2,2578.2068
60.3,2582.4863
60.4,2586.7664
60.5,2591.0461
60.6,2595.326
60.7,2599.6057
60.8,2603.8855
60.9,2608.1655
61.0,2612.445
61.1,2616.7249
61.2,2621.0046
61.3,2625.2847
