dataset,series,family,model,subset,metric,value
synthetic,trend,exp_smoothing,SES,train,mse,71.88612577156941
synthetic,trend,exp_smoothing,SES,train,mae,6.778749477591169
synthetic,trend,exp_smoothing,SES,train,r2,0.9999161355779542
synthetic,trend,exp_smoothing,SES,h_2.0,mse,994993134.3521178
synthetic,trend,exp_smoothing,SES,h_2.0,mae,24382.89278847953
synthetic,trend,exp_smoothing,SES,h_2.0,r2,-1.4845779070351233
synthetic,trend,exp_smoothing,Holt,train,mse,1.4468730092379314
synthetic,trend,exp_smoothing,Holt,train,mae,0.9461197101825195
synthetic,trend,exp_smoothing,Holt,train,r2,0.9999983120363298
synthetic,trend,exp_smoothing,Holt,h_2.0,mse,478057178.65225565
synthetic,trend,exp_smoothing,Holt,h_2.0,mae,15721.459264440664
synthetic,trend,exp_smoothing,Holt,h_2.0,r2,-0.1937472364091688
synthetic,trend,exp_smoothing,HW_add,train,mse,1.561536518749046
synthetic,trend,exp_smoothing,HW_add,train,mae,0.979101591520554
synthetic,trend,exp_smoothing,HW_add,train,r2,0.9999981782665814
synthetic,trend,exp_smoothing,HW_add,h_2.0,mse,479279021.6591332
synthetic,trend,exp_smoothing,HW_add,h_2.0,mae,15746.805727697341
synthetic,trend,exp_smoothing,HW_add,h_2.0,r2,-0.19679827669873817
synthetic,trend,regression,Poly2,train,mse,2259.015745592544
synthetic,trend,regression,Poly2,train,mae,40.878800649628985
synthetic,trend,regression,Poly2,train,r2,0.9973645672532356
synthetic,trend,regression,Poly2,test,mse,12904842.613994354
synthetic,trend,regression,Poly2,test,mae,2808.205853870215
synthetic,trend,regression,Poly2,test,r2,0.5783987155722087
synthetic,trend,regression,TorchNN,train,mse,186389.30701841306
synthetic,trend,regression,TorchNN,train,mae,371.42363034440575
synthetic,trend,regression,TorchNN,train,r2,0.7825528731610504
synthetic,trend,regression,TorchNN,test,mse,86491734.24686822
synthetic,trend,regression,TorchNN,test,mae,7879.124074032271
synthetic,trend,regression,TorchNN,test,r2,-1.8256854687497843
